id,date,amount,merchant,merchant_clean,reference,currency,source
L50,2025-10-09,190.0,MakeMyTrip,makemytrip,HYQXA87J7T,INR,ledger
L51,2025-10-23,24983.0,Netflix,netflix,2EESVSOR2G,INR,ledger
L52,2025-11-14,800.0,Myntra,myntra,0ECSNHDEGC,INR,ledger
L53,2025-11-22,306.0,MakeMyTrip,makemytrip,7PQBB78O30,INR,ledger
L54,2025-10-05,1501.0,Reliance Mart,reliance mart,VEPSBHKZFV,INR,ledger
L55,2025-11-04,1493.0,Flipkart,flipkart,W4HIRHL1HR,INR,ledger
L56,2025-11-10,1509.0,MakeMyTrip,makemytrip,Q6P6COQD54,INR,ledger
L57,2025-11-06,2515.0,Paytm Mall,paytm mall,TICZ2PVV1G,INR,ledger
L58,2025-11-28,9994.0,Myntra,myntra,39UTNY79MV,INR,ledger
L59,2025-10-27,498.0,Uber,uber,FJI3KVB571,INR,ledger
L60,2025-10-02,15007.0,Ola,ola,FLXFBIMD6P,INR,ledger
L61,2025-11-03,314.0,Flipkart,flipkart,VID6ILQENO,INR,ledger
L62,2025-11-01,218.0,Google Play,google play,P0FUGKYPFY,INR,ledger
L63,2025-11-03,789.0,Ola,ola,I6EKGAZWYI,INR,ledger
L64,2025-11-20,24993.0,Paytm Mall,paytm mall,PZ52JKIFHG,INR,ledger
L65,2025-10-27,24984.0,IndiGo,indigo,KRGLCTDQAJ,INR,ledger
L66,2025-11-21,507.0,MakeMyTrip,makemytrip,4ER9NE98ZJ,INR,ledger
L67,2025-10-07,9984.0,Amazon India,amazon,XM4QFIXLZ1,INR,ledger
L68,2025-10-16,25014.0,Myntra,myntra,NF9N51TPXZ,INR,ledger
L69,2025-10-15,809.0,Paytm Mall,paytm mall,I8M3W8AQQY,INR,ledger
L70,2025-10-17,780.0,Uber,uber,2GG16IEX2T,INR,ledger
L71,2025-11-06,203.0,Myntra,myntra,J2X2C0PX66,INR,ledger
L72,2025-10-18,505.0,MakeMyTrip,makemytrip,TRBIQPDR6W,INR,ledger
L73,2025-11-24,15002.0,Uber,uber,8HYCSSTRWG,INR,ledger
L74,2025-11-11,2519.0,Netflix,netflix,SHGXSG5KQE,INR,ledger
L75,2025-10-09,2499.0,Spotify,spotify,F8W8DPC1N1,INR,ledger
L76,2025-11-11,14981.0,Paytm Mall,paytm mall,O00XGH14KO,INR,ledger
L77,2025-11-10,5016.0,Google Play,google play,HL7V1JWNVF,INR,ledger
L78,2025-10-05,5012.0,Uber,uber,FPBMYXHAXG,INR,ledger
L79,2025-10-17,14987.0,Spotify,spotify,P7SNGA0W8V,INR,ledger
L80,2025-10-16,789.0,Flipkart,flipkart,5MHOU6TL19,INR,ledger
L81,2025-10-28,515.0,Ola,ola,LM0UB1X19Z,INR,ledger
L82,2025-10-02,210.0,Paytm Mall,paytm mall,7CCZDMGJGI,INR,ledger
L83,2025-10-05,181.0,IndiGo,indigo,HLEF80UYIP,INR,ledger
L84,2025-11-12,4983.0,DMart,dmart,4XC6VIUIID,INR,ledger
L85,2025-10-20,1018.0,Zomato,zomato,IAJ78ESL2Z,INR,ledger
L86,2025-11-19,984.0,IndiGo,indigo,XSI464HPB2,INR,ledger
L87,2025-10-07,185.0,IRCTC,irctc,OSZZATX80F,INR,ledger
L88,2025-11-09,14989.0,BookMyShow,bookmyshow,XKJ75AD4CO,INR,ledger
L89,2025-10-22,25008.0,Zomato,zomato,EY2967WTUL,INR,ledger
L90,2025-11-11,5019.0,BookMyShow,bookmyshow,7G22QCQ5QI,INR,ledger
L91,2025-10-21,2498.0,Air India,air,1T8YTTASPE,INR,ledger
L92,2025-10-09,5006.0,MakeMyTrip,makemytrip,0E5FID8VKE,INR,ledger
L93,2025-10-19,25006.0,Swiggy,swiggy,I9UBSN1WJ4,INR,ledger
L94,2025-11-12,1008.0,Air India,air,HCHYSYEGCM,INR,ledger
L95,2025-11-30,805.0,MakeMyTrip,makemytrip,1ASAZPGKK8,INR,ledger
L96,2025-11-26,194.0,MakeMyTrip,makemytrip,I4N4F9603U,INR,ledger
L97,2025-11-23,808.0,Ola,ola,ATEG2474A5,INR,ledger
L98,2025-11-30,808.0,IRCTC,irctc,Y81SMY5D49,INR,ledger
L99,2025-10-14,14995.0,BigBasket,bigbasket,VMSAGHKGA4,INR,ledger
L100,2025-11-01,1518.0,Air India,air,QKFEIVZ56N,INR,ledger
L101,2025-10-20,192.0,IRCTC,irctc,8XB4Z638RH,INR,ledger
L102,2025-11-06,2486.0,Air India,air,VMXHH2X3T0,INR,ledger
L103,2025-10-27,495.0,Google Play,google play,10GDLJXAYO,INR,ledger
L104,2025-11-24,25015.0,DMart,dmart,U898N8177Y,INR,ledger
L105,2025-11-27,1492.0,Flipkart,flipkart,Z469V7DLN1,INR,ledger
L106,2025-10-20,14989.0,Air India,air,GR4BKOXTMD,INR,ledger
L107,2025-11-04,983.0,Netflix,netflix,B89SWSEJMO,INR,ledger
L108,2025-11-05,14990.0,Netflix,netflix,6HU9IGJWBM,INR,ledger
L109,2025-10-13,9981.0,IRCTC,irctc,EWYN5958BX,INR,ledger
L110,2025-10-12,25016.0,Reliance Mart,reliance mart,JSMYXRZ1UU,INR,ledger
L111,2025-11-18,1510.0,Paytm Mall,paytm mall,M0Z1RCWDNF,INR,ledger
L112,2025-10-05,1010.0,Apple Store,apple store,KE8M8WZWXH,INR,ledger
L113,2025-10-08,306.0,Myntra,myntra,BPZS6CHFBY,INR,ledger
L114,2025-11-19,9989.0,Zomato,zomato,IB06RNGBPI,INR,ledger
L115,2025-11-22,9986.0,Apple Store,apple store,VCWTA0DF5Z,INR,ledger
L116,2025-10-30,10005.0,Flipkart,flipkart,BCF416H135,INR,ledger
L117,2025-10-26,14982.0,MakeMyTrip,makemytrip,26R9ER8D7M,INR,ledger
L118,2025-10-21,803.0,DMart,dmart,EDC130QJNZ,INR,ledger
L119,2025-11-05,14983.0,Reliance Mart,reliance mart,6GOZ0SL16S,INR,ledger
L120,2025-10-31,815.0,Reliance Mart,reliance mart,XCLHCHTU5Z,INR,ledger
L121,2025-10-31,2481.0,Ola,ola,QLABDSL6WE,INR,ledger
L122,2025-11-28,288.0,BookMyShow,bookmyshow,C8L7VN9LHD,INR,ledger
L123,2025-11-18,987.0,BigBasket,bigbasket,J39BEW3B1E,INR,ledger
L124,2025-10-05,25018.0,Reliance Mart,reliance mart,PKAYGM7JNU,INR,ledger
L125,2025-10-30,2518.0,Apple Store,apple store,SAPBYJFMEF,INR,ledger
L126,2025-10-20,15000.0,Netflix,netflix,9OT3U4SM51,INR,ledger
L127,2025-10-04,9994.0,DMart,dmart,YG3BXCEIQD,INR,ledger
L128,2025-11-26,813.0,IndiGo,indigo,BVSEYOVWR4,INR,ledger
L129,2025-11-10,309.0,DMart,dmart,48ZDUNOMBZ,INR,ledger
L130,2025-11-28,25011.0,Apple Store,apple store,U7RBRVTY0L,INR,ledger
L131,2025-10-17,807.0,Air India,air,NEOAG5A0QS,INR,ledger
L132,2025-11-10,505.0,BigBasket,bigbasket,VXZ3R82NW5,INR,ledger
L133,2025-10-21,1513.0,IndiGo,indigo,J1NHUVB973,INR,ledger
L134,2025-11-20,318.0,IRCTC,irctc,Z99K1DW51K,INR,ledger
L135,2025-10-31,1479.0,Apple Store,apple store,9T8FOCB6OD,INR,ledger
L136,2025-10-11,14996.0,Uber,uber,U9RZ25RLWV,INR,ledger
L137,2025-11-11,14992.0,Reliance Mart,reliance mart,7LXK0O0JGN,INR,ledger
L138,2025-11-08,996.0,Google Play,google play,IDRDK6VCDZ,INR,ledger
L139,2025-10-25,809.0,Swiggy,swiggy,C4KOTNQ500,INR,ledger
L140,2025-11-23,806.0,DMart,dmart,PCOKEPSSKA,INR,ledger
L141,2025-11-02,10017.0,Google Play,google play,R9DN9JBYDI,INR,ledger
L142,2025-10-10,9985.0,Paytm Mall,paytm mall,7B210WQ537,INR,ledger
L143,2025-10-05,4990.0,Swiggy,swiggy,IZ000J5GCR,INR,ledger
L144,2025-10-14,285.0,Paytm Mall,paytm mall,M0QP72K4WK,INR,ledger
L145,2025-11-25,519.0,Flipkart,flipkart,PYP7FKOMHR,INR,ledger
L146,2025-10-25,4995.0,Reliance Mart,reliance mart,9C5YV9O86I,INR,ledger
L147,2025-10-09,2481.0,Air India,air,IRVRJK6Q4R,INR,ledger
L148,2025-10-18,14985.0,Paytm Mall,paytm mall,4EUIVB17IP,INR,ledger
L149,2025-11-06,4979.0,Air India,air,TZLF0TBLIZ,INR,ledger
L150,2025-11-10,2495.0,Apple Store,apple store,NRUJWFJDR9,INR,ledger
L151,2025-11-17,10014.0,Reliance Mart,reliance mart,FI4XZV0UA6,INR,ledger
L152,2025-10-14,25019.0,BookMyShow,bookmyshow,PMFCKUY91O,INR,ledger
L153,2025-11-21,805.0,Uber,uber,8IW2DATC15,INR,ledger
L154,2025-11-16,14979.0,Swiggy,swiggy,WXXOF5JGTC,INR,ledger
L155,2025-11-20,9997.0,Amazon India,amazon,3XF35253E4,INR,ledger
L156,2025-11-07,1492.0,Uber,uber,281SWN13BU,INR,ledger
L157,2025-10-28,1481.0,Zomato,zomato,8RAYOXI1P2,INR,ledger
L158,2025-10-17,516.0,Reliance Mart,reliance mart,WX2J9A0DZH,INR,ledger
L159,2025-11-30,280.0,Google Play,google play,SPGBEH0FSX,INR,ledger
L160,2025-10-15,492.0,Uber,uber,VIW357XBHR,INR,ledger
L161,2025-10-19,317.0,Amazon India,amazon,1JGIQRTDRN,INR,ledger
L162,2025-10-07,15003.0,Flipkart,flipkart,JZ4S4A615I,INR,ledger
L163,2025-11-02,486.0,Uber,uber,2OZMEMD6L3,INR,ledger
L164,2025-11-30,516.0,Zomato,zomato,2Y270PAPZT,INR,ledger
L165,2025-11-30,4983.0,MakeMyTrip,makemytrip,ACH9C8JIGZ,INR,ledger
L166,2025-11-06,4987.0,IndiGo,indigo,WOELYO1V0A,INR,ledger
L167,2025-10-14,292.0,Uber,uber,CBWFDHR2P9,INR,ledger
L168,2025-10-02,182.0,Swiggy,swiggy,NM0E00GBL7,INR,ledger
L169,2025-10-26,507.0,DMart,dmart,1NVASS73N3,INR,ledger
L170,2025-10-22,504.0,Flipkart,flipkart,8H4KLXRYB1,INR,ledger
L171,2025-11-15,185.0,BigBasket,bigbasket,SN9ECMMKQI,INR,ledger
L172,2025-10-01,1007.0,MakeMyTrip,makemytrip,9RCFDUFYJD,INR,ledger
L173,2025-10-18,25005.0,Myntra,myntra,E16OGR24DK,INR,ledger
L174,2025-11-01,2503.0,BigBasket,bigbasket,7LQ3GIWAC9,INR,ledger
L175,2025-11-28,782.0,BigBasket,bigbasket,RONOSLV61G,INR,ledger
L176,2025-11-05,15007.0,Amazon India,amazon,B3KOLAI3S0,INR,ledger
L177,2025-11-20,4986.0,Air India,air,2OOSSD9NHR,INR,ledger
L178,2025-10-02,10002.0,Apple Store,apple store,CF75MEQ5JP,INR,ledger
L179,2025-10-20,1008.0,IRCTC,irctc,VCA0SYXD9H,INR,ledger
L180,2025-10-26,298.0,Spotify,spotify,HOELPHXH5F,INR,ledger
L181,2025-10-25,14985.0,Amazon India,amazon,1U1I91J7EW,INR,ledger
L182,2025-10-15,992.0,Google Play,google play,TT6KXF7TN5,INR,ledger
L183,2025-10-18,14992.0,Myntra,myntra,BTYCYUJ6NZ,INR,ledger
L184,2025-11-12,286.0,Google Play,google play,PCGNGAABEJ,INR,ledger
L185,2025-11-22,4980.0,IRCTC,irctc,PXONP5Z4KF,INR,ledger
L186,2025-11-16,1499.0,Spotify,spotify,LKF2LECOIV,INR,ledger
L187,2025-10-26,9985.0,Amazon India,amazon,OF5CE00AEA,INR,ledger
L188,2025-10-26,795.0,Apple Store,apple store,MQ7TYIO6OQ,INR,ledger
L189,2025-11-08,15018.0,MakeMyTrip,makemytrip,ANYJ2UZV9A,INR,ledger
L190,2025-10-08,192.0,Spotify,spotify,X5LGR4D93O,INR,ledger
L191,2025-11-20,14985.0,IRCTC,irctc,GG545XO3VY,INR,ledger
L192,2025-10-13,24984.0,Paytm Mall,paytm mall,UT9CT1G96F,INR,ledger
L193,2025-10-31,14979.0,Google Play,google play,Q4KQ99IC1J,INR,ledger
L194,2025-10-27,502.0,Google Play,google play,FAZLM0FB8K,INR,ledger
L195,2025-11-01,4996.0,Zomato,zomato,GY5E2MJG8B,INR,ledger
L196,2025-10-06,2499.0,Netflix,netflix,2V3KHCD9NX,INR,ledger
L197,2025-11-27,4989.0,MakeMyTrip,makemytrip,D1PKZ2BR17,INR,ledger
L198,2025-11-27,1016.0,Air India,air,HRC6QVQF7N,INR,ledger
L199,2025-10-12,25002.0,Air India,air,KCK2KCLKXY,INR,ledger
L200,2025-11-07,25016.0,Reliance Mart,reliance mart,1S2FIYC0NW,INR,ledger
L201,2025-10-11,805.0,Zomato,zomato,9PVG56EQO8,INR,ledger
L202,2025-11-08,2497.0,MakeMyTrip,makemytrip,K0H6AB0TEA,INR,ledger
L203,2025-11-10,15013.0,Ola,ola,39UUWQUU8Z,INR,ledger
L204,2025-10-01,5006.0,IndiGo,indigo,Q4HV4CA7LG,INR,ledger
L205,2025-11-01,291.0,Amazon India,amazon,BLQ2KZ01N1,INR,ledger
L206,2025-11-30,24984.0,Netflix,netflix,F200CNXMIG,INR,ledger
L207,2025-11-17,1003.0,IndiGo,indigo,GB3N6SQ8Y1,INR,ledger
L208,2025-11-01,179.0,Myntra,myntra,CYAE2B8H4C,INR,ledger
L209,2025-11-12,209.0,BookMyShow,bookmyshow,XHMTETX64Y,INR,ledger
L210,2025-11-02,25015.0,Amazon India,amazon,1X1PGGCAJA,INR,ledger
L211,2025-11-20,980.0,IRCTC,irctc,J9UQWD3P2R,INR,ledger
L212,2025-11-13,9996.0,Swiggy,swiggy,ED7K4GZIHK,INR,ledger
L213,2025-11-04,293.0,Netflix,netflix,TPUDVGTF6T,INR,ledger
L214,2025-10-16,203.0,MakeMyTrip,makemytrip,XDRUGNMA0J,INR,ledger
L215,2025-10-08,15014.0,IRCTC,irctc,8EZRTCKRRH,INR,ledger
L216,2025-11-24,499.0,Ola,ola,PGIFWHLJJJ,INR,ledger
L217,2025-11-12,9989.0,Flipkart,flipkart,U2F1S54X1F,INR,ledger
L218,2025-10-11,5006.0,Google Play,google play,XNA07UCTB0,INR,ledger
L219,2025-11-13,4988.0,Flipkart,flipkart,E1EVF9FEY8,INR,ledger
L220,2025-11-03,10008.0,Paytm Mall,paytm mall,8RD741RPWB,INR,ledger
L221,2025-11-01,2494.0,Reliance Mart,reliance mart,P43PZZWTZY,INR,ledger
L222,2025-11-05,2483.0,Reliance Mart,reliance mart,K42P9F3STJ,INR,ledger
L223,2025-11-25,14999.0,Myntra,myntra,Y8RMRKOV9C,INR,ledger
L224,2025-10-13,24981.0,Air India,air,PPNTS4DFFV,INR,ledger
L225,2025-10-29,5009.0,IRCTC,irctc,OTXB55TIHP,INR,ledger
L226,2025-11-04,2495.0,Google Play,google play,X2Z1YQBO3N,INR,ledger
L227,2025-11-06,193.0,Reliance Mart,reliance mart,5N502UT44H,INR,ledger
L228,2025-10-11,24997.0,Ola,ola,TEKZEOWEIF,INR,ledger
L229,2025-11-15,2506.0,Spotify,spotify,C2JUV6ZVPJ,INR,ledger
L230,2025-10-05,2519.0,Flipkart,flipkart,FDDI0VR7Z9,INR,ledger
L231,2025-10-09,14994.0,Apple Store,apple store,DFGB0M4EDS,INR,ledger
L232,2025-11-28,502.0,Ola,ola,T63MWNLVOF,INR,ledger
L233,2025-10-15,317.0,MakeMyTrip,makemytrip,7F3VQDYGB5,INR,ledger
L234,2025-11-26,25006.0,Spotify,spotify,5N3IQ2PIHM,INR,ledger
L235,2025-11-11,185.0,DMart,dmart,CAP7IZ2H9S,INR,ledger
L236,2025-10-07,10017.0,MakeMyTrip,makemytrip,RXA4ZJ3FAN,INR,ledger
L237,2025-10-02,312.0,Spotify,spotify,NZUTM11337,INR,ledger
L238,2025-11-12,1513.0,Flipkart,flipkart,32DUF3CLVZ,INR,ledger
L239,2025-11-10,197.0,Apple Store,apple store,N89DOHNUQM,INR,ledger
L240,2025-10-29,5004.0,DMart,dmart,WZPKLNSQ7F,INR,ledger
L241,2025-11-04,4993.0,DMart,dmart,8J466DLPYU,INR,ledger
L242,2025-11-30,2498.0,Myntra,myntra,BKREJZHVL8,INR,ledger
L243,2025-11-24,1500.0,Uber,uber,UE067ZDBDQ,INR,ledger
L244,2025-10-16,279.0,DMart,dmart,EXEZ950AQ2,INR,ledger
L245,2025-10-21,14985.0,Google Play,google play,0LTYZG7K90,INR,ledger
L246,2025-11-22,24984.0,Amazon India,amazon,Y1ULRGYADN,INR,ledger
L247,2025-10-14,10003.0,Air India,air,H2VSZQGUP4,INR,ledger
L248,2025-11-24,10009.0,BigBasket,bigbasket,0UV07QA4KA,INR,ledger
L249,2025-11-14,25019.0,Swiggy,swiggy,Z8SPIJ3CI2,INR,ledger
L250,2025-10-30,1004.0,Apple Store,apple store,2NHMJWUWOG,INR,ledger
L251,2025-10-05,991.0,Air India,air,VPLG647V8B,INR,ledger
L252,2025-11-04,494.0,MakeMyTrip,makemytrip,L8J96Z7L64,INR,ledger
L253,2025-10-12,507.0,IndiGo,indigo,A910K8TANL,INR,ledger
L254,2025-10-30,811.0,Swiggy,swiggy,PCZS55YBSO,INR,ledger
L255,2025-10-15,283.0,MakeMyTrip,makemytrip,8QLHZL92PG,INR,ledger
L256,2025-11-23,2495.0,Spotify,spotify,QMU5G8U0J4,INR,ledger
L257,2025-11-27,301.0,Reliance Mart,reliance mart,G01IBSKCKK,INR,ledger
L258,2025-10-21,2519.0,Spotify,spotify,X8B3E9DRS4,INR,ledger
L259,2025-10-18,810.0,MakeMyTrip,makemytrip,YJ6G8ZGC4L,INR,ledger
L260,2025-10-03,9979.0,Myntra,myntra,IPWHAJHE9E,INR,ledger
L261,2025-10-17,203.0,DMart,dmart,I8U1MTAATN,INR,ledger
L262,2025-11-13,798.0,Netflix,netflix,XWMGIO8YUR,INR,ledger
L263,2025-11-07,5004.0,Spotify,spotify,3CQD9JL81B,INR,ledger
L264,2025-10-10,289.0,Swiggy,swiggy,CMOQLXO9M7,INR,ledger
L265,2025-11-13,479.0,Netflix,netflix,1T3JO4C37W,INR,ledger
L266,2025-11-01,798.0,Swiggy,swiggy,WV2FD6F0AZ,INR,ledger
L267,2025-10-14,204.0,BigBasket,bigbasket,IEK45SBK27,INR,ledger
L268,2025-11-18,812.0,Uber,uber,9CCXO1KQVF,INR,ledger
L269,2025-11-13,1499.0,Ola,ola,SI31QF8L01,INR,ledger
L270,2025-10-02,25010.0,BigBasket,bigbasket,JGCMH0YWEN,INR,ledger
L271,2025-10-20,499.0,Ola,ola,1WIKX2ORFP,INR,ledger
L272,2025-10-03,2489.0,Swiggy,swiggy,Z6J3V3TWTQ,INR,ledger
L273,2025-11-15,192.0,IRCTC,irctc,F424Y6NUZO,INR,ledger
L274,2025-11-12,1483.0,Uber,uber,SIDBRKZKL1,INR,ledger
L275,2025-10-10,1508.0,BigBasket,bigbasket,QP9RRRE3EB,INR,ledger
L276,2025-10-20,204.0,DMart,dmart,VR8QW4RAVF,INR,ledger
L277,2025-10-11,10007.0,MakeMyTrip,makemytrip,2G432PFHJI,INR,ledger
L278,2025-11-14,1510.0,Uber,uber,FVUMSYIL3Y,INR,ledger
L279,2025-10-18,15012.0,IRCTC,irctc,HUIS0XT7B3,INR,ledger
L280,2025-10-11,9981.0,Paytm Mall,paytm mall,B5XXG5NNR0,INR,ledger
L281,2025-11-06,313.0,Myntra,myntra,G71Q2RV813,INR,ledger
L282,2025-11-26,984.0,Reliance Mart,reliance mart,XBTGBRFEUB,INR,ledger
L283,2025-11-26,279.0,MakeMyTrip,makemytrip,J3EBEMUC95,INR,ledger
L284,2025-11-09,813.0,Apple Store,apple store,Q1FNNNQDG2,INR,ledger
L285,2025-10-17,5005.0,Flipkart,flipkart,ZKTM3KXSX3,INR,ledger
L286,2025-10-16,9982.0,Netflix,netflix,GQXHJQ74S2,INR,ledger
L287,2025-11-17,813.0,Reliance Mart,reliance mart,VD37Y6437B,INR,ledger
L288,2025-11-12,196.0,Paytm Mall,paytm mall,EU7EYU6Q28,INR,ledger
L289,2025-11-01,15017.0,Google Play,google play,6BQ5GU64AK,INR,ledger
L290,2025-10-21,15007.0,Apple Store,apple store,Z6EDY4CQA7,INR,ledger
L291,2025-11-21,4979.0,Ola,ola,5DNZKJ9EOA,INR,ledger
L292,2025-11-16,25005.0,IRCTC,irctc,TQLZ1304U9,INR,ledger
L293,2025-10-14,308.0,Air India,air,KHFOYP06WC,INR,ledger
L294,2025-11-23,814.0,Reliance Mart,reliance mart,I7CM334G8W,INR,ledger
L295,2025-11-07,1001.0,IRCTC,irctc,33F5FDDZI5,INR,ledger
L296,2025-10-20,2481.0,Spotify,spotify,YE7F1N9JEL,INR,ledger
L297,2025-11-23,24999.0,Paytm Mall,paytm mall,ELLNT1GH7Q,INR,ledger
L298,2025-10-28,15010.0,Zomato,zomato,3F1M12Z2FS,INR,ledger
L299,2025-10-18,491.0,Swiggy,swiggy,RRX2T7AQD4,INR,ledger
L300,2025-10-01,10009.0,Flipkart,flipkart,HIFFNBLU3B,INR,ledger
L301,2025-11-20,14981.0,IRCTC,irctc,TKMAM8WV0Y,INR,ledger
L302,2025-10-30,14989.0,Uber,uber,KK6II6CQKF,INR,ledger
L303,2025-11-12,799.0,Air India,air,ZQEYHQXIMD,INR,ledger
L304,2025-11-08,517.0,BookMyShow,bookmyshow,VMG2UMI71K,INR,ledger
L305,2025-10-05,24998.0,Myntra,myntra,3B8N59VG3Z,INR,ledger
L306,2025-11-05,1490.0,Spotify,spotify,KO7HDLZHHC,INR,ledger
L307,2025-10-10,25008.0,DMart,dmart,AZLO6CURJY,INR,ledger
L308,2025-10-30,1486.0,IRCTC,irctc,US43LWGVXV,INR,ledger
L309,2025-11-24,1492.0,Uber,uber,NE1V0TL7R9,INR,ledger
L310,2025-10-14,4983.0,Ola,ola,ALFV4VYHGE,INR,ledger
L311,2025-11-18,14983.0,DMart,dmart,GUXF0MT56V,INR,ledger
L312,2025-10-04,15003.0,BigBasket,bigbasket,TTL94RNZ7R,INR,ledger
L313,2025-10-01,2485.0,Ola,ola,1AMW4X3S3O,INR,ledger
L314,2025-11-15,4979.0,Apple Store,apple store,53K1SBVOKR,INR,ledger
L315,2025-11-09,1509.0,Google Play,google play,PSRRUNLCTB,INR,ledger
L316,2025-10-16,14992.0,Netflix,netflix,K98IWBX26P,INR,ledger
L317,2025-11-30,14996.0,IndiGo,indigo,W5KRWGSBM2,INR,ledger
L318,2025-11-21,212.0,IndiGo,indigo,UD7VS9DB2S,INR,ledger
L319,2025-10-23,786.0,Apple Store,apple store,WWCLBN3ZF9,INR,ledger
L320,2025-10-03,502.0,IndiGo,indigo,BAUEMB7E1K,INR,ledger
L321,2025-10-27,25013.0,BigBasket,bigbasket,RHRZ5XNA0X,INR,ledger
L322,2025-10-06,25015.0,Uber,uber,AI1FG6WB5J,INR,ledger
L323,2025-10-16,287.0,Amazon India,amazon,BBT88YR99K,INR,ledger
L324,2025-11-17,187.0,Swiggy,swiggy,ZUVJT6HEMJ,INR,ledger
L325,2025-10-09,1015.0,IndiGo,indigo,2VEJ4KPXY8,INR,ledger
L326,2025-11-02,10014.0,Air India,air,SU7RWVFQKR,INR,ledger
L327,2025-10-18,1517.0,MakeMyTrip,makemytrip,67SF6AEUVZ,INR,ledger
L328,2025-11-29,497.0,Amazon India,amazon,4NFY10J97F,INR,ledger
L329,2025-10-23,502.0,BookMyShow,bookmyshow,ER1WIR8FZ0,INR,ledger
