stmt_ref,booking_date,tx_val,description,ext_memo,unit
B65,10/01/25,₹ 171.00,OLA INDIA/ONLINE,5FQY3RBE3I,INR
B66,01-Dec-2025,"₹ 2,494.00",BIGBASKET POS-TRANS,,INR
B67,11/28/25,"₹ 1,027.00",SWIGGY POS-TRANS,VCB1UAPPLV,INR
B68,09-Nov-2025,₹ 197.00,ZOMATO POS-TRANS,ISNAC8ABM5,INR
B69,28-Nov-2025,₹ 285.00,DMART INDIA-INC,UHHRW54DZI,INR
B70,2025.10.14,₹ 499.00,UBER CORP,VIW357XBHR,INR
B71,11/24/25,"₹ 4,991.00",IRCTC CORP,B2CP4BTVAG,INR
B72,20/11/2025,"₹ 24,990.00",OLA CORP,,INR
B73,11/08/25,"₹ 25,020.00",BOOKMYSHOW *0912,V38U51WGMP,INR
B74,09-Nov-2025,"₹ 2,512.00",MYNTRA/ONLINE,EUTTYBFGSO,INR
B75,2025.11.22,"₹ 9,985.00",SWIGGY_LTD,JYAGYNQNL5,INR
B76,29-Nov-2025,"₹ 1,494.00",DMART POS-TRANS,A8KPLT5Q62,INR
B77,10/10/2025,₹ 482.00,AMAZON.INDIA CORP,KXQKYGF81R,INR
B78,10/30/25,₹ 527.00,OLA/ONLINE,91E8KBJ7C1,INR
B79,14/10/2025,₹ 289.00,GOOGLEPLAY CORP,HBEQ9DFNJ0,INR
B80,24/11/2025,₹ 504.00,MAKEMYTRIP/ONLINE,LQWTQP347X,INR
B81,2025.11.05,"₹ 1,519.00",MAKEMYTRIP-INC,CYI0OZ3PO1,INR
B82,19/10/2025,"₹ 2,505.00",AIR.INDIA *0912,H48RQUEZWA,INR
B83,15/10/2025,"₹ 24,996.00",AMAZON.INDIA-INC,AHB672XOC6,INR
B84,2025.11.23,₹ 288.00,OLA POS-TRANS,15PTNWFDZG,INR
B85,2025.11.18,₹ 993.00,BIGBASKET POS-TRANS,J39BEW3B1E,INR
B86,01-Nov-2025,₹ 501.00,MYNTRA CORP,,INR
B87,11/11/2025,₹ 493.00,AMAZON INDIA INDIA_LTD,R2NNPBB4HI,INR
B88,01/12/2025,"₹ 2,478.00",INDIGO POS-TRANS,QIHGXV1RK4,INR
B89,2025.11.24,₹ 209.00,AMAZON/ONLINE,V6IUVHD8EL,INR
B90,24/10/2025,₹ 304.00,BOOKMYSHOW CORP,NGMJ3AJNYL,INR
B91,30-Nov-2025,"₹ 10,009.00",IRCTC CORP,G1HM712JLH,INR
B92,04-Nov-2025,₹ 985.00,DMART *0912,AJZ8YN91DC,INR
B93,10/03/25,"₹ 14,999.00",ZOMATO-INC,UN8IXF64UM,INR
B94,16/11/2025,₹ 303.00,IRCTC CORP,MS62TLQ0H3,INR
B95,10/28/25,₹ 818.00,IRCTC-INC,M9CO1BQ0XN,INR
B96,02/11/2025,"₹ 1,475.00",BIGBASKET/ONLINE,50V3NWRHSG,INR
B97,24-Oct-2025,"₹ 15,020.00",APPLESTORE-INC,VWRFXFL70J,INR
B98,2025.10.15,₹ 797.00,UBER *0912,5IATOPV0R9,INR
B99,04/11/2025,₹ 305.00,BIGBASKET POS-TRANS,SFAGKNMKZN,INR
B100,20-Nov-2025,₹ 507.00,AMAZON INDIA-INC,3KEDC5RX3K,INR
B101,11/03/25,"₹ 14,996.00",PAYTM MALL CORP,QPRKLVSIWK,INR
B102,2025.11.04,"₹ 25,024.00",GOOGLE PLAY INDIA-INC,1Y4SCZOOD6,INR
B103,2025.10.19,₹ 491.00,NETFLIX CORP,SIM5IJY6N5,INR
B104,2025.11.23,₹ 783.00,BOOKMYSHOW POS-TRANS,PW7C1AV78G,INR
B105,29-Nov-2025,"₹ 15,007.00",IRCTC_LTD,G46LINOD5Q,INR
B106,11/19/25,"₹ 4,986.00",RELIANCE MART CORP,F6SWT8897Z,INR
B107,15-Nov-2025,"₹ 5,011.00",IRCTC INDIA/ONLINE,FK4CXA9IJF,INR
B108,2025.11.27,"₹ 15,019.00",MYNTRA_LTD,RRQL517L9I,INR
B109,2025.11.08,"₹ 1,001.00",OLA INDIA CORP,13QRUGPEFP,INR
B110,09/11/2025,"₹ 9,997.00",PAYTM MALL/ONLINE,KZVXIX2YNB,INR
B111,02/11/2025,"₹ 10,024.00",APPLESTORE CORP,SAIF0YEYC4,INR
B112,30/10/2025,"₹ 14,981.00",MAKEMYTRIP *0912,OWUEXXU4TE,INR
B113,11/28/25,₹ 485.00,MYNTRA_LTD,W2RF6DRT2B,INR
B114,26/10/2025,₹ 481.00,MYNTRA CORP,,INR
B115,2025.10.28,₹ 317.00,BIGBASKET POS-TRANS,HZ4NX7KNDO,INR
B116,04-Oct-2025,₹ 821.00,AMAZON INDIA INDIA *0912,QGMGC4X6V1,INR
B117,20-Nov-2025,"₹ 15,017.00",ZOMATO-INC,,INR
B118,22/11/2025,"₹ 1,515.00",IRCTC_LTD,AEX436A4HU,INR
B119,10/23/25,₹ 480.00,IRCTC CORP,HI1SHQLJB7,INR
B120,2025.11.17,₹ 992.00,UBER POS-TRANS,AV2UIK7D0K,INR
B121,2025.10.11,"₹ 1,496.00",AIR POS-TRANS,2A0XMEXUVI,INR
B122,10-Nov-2025,₹ 293.00,BIGBASKET_LTD,XM2Q8F8ZSW,INR
B123,2025.10.01,"₹ 2,502.00",UBER *0912,IIE8LC886Q,INR
B124,11/12/25,₹ 496.00,ZOMATO *0912,NCC5N8U4K1,INR
B125,10/02/25,"₹ 4,994.00",ZOMATO CORP,1K917V7G4U,INR
B126,2025.10.16,₹ 979.00,SWIGGY *0912,DCV2IR99RT,INR
B127,10/04/25,₹ 185.00,OLA/ONLINE,M9TTW386KS,INR
B128,26-Oct-2025,₹ 491.00,NETFLIX-INC,,INR
B129,10/17/25,"₹ 9,998.00",SPOTIFY POS-TRANS,VPOWDEWIMU,INR
B130,18-Nov-2025,"₹ 1,001.00",APPLE STORE-INC,8YTAFTH6Z4,INR
B131,2025.11.05,"₹ 2,484.00",AIR INDIA POS-TRANS,VMXHH2X3T0,INR
B132,08/10/2025,₹ 325.00,SWIGGY_LTD,EWC8GNNH3Y,INR
B133,15-Oct-2025,"₹ 14,979.00",SWIGGY *0912,,INR
B134,20-Oct-2025,₹ 803.00,AMAZON INDIA INDIA-INC,OY149DZQ40,INR
B135,2025.11.06,"₹ 2,482.00",IRCTC *0912,F754A7XUDE,INR
B136,11-Nov-2025,"₹ 4,976.00",GOOGLE PLAY *0912,PVG8BNYB7Z,INR
B137,2025.11.19,"₹ 10,002.00",INDIGO-INC,JLOIAI0R2Q,INR
B138,10/17/25,₹ 824.00,INDIGO POS-TRANS,9FFQ57271O,INR
B139,10/11/25,"₹ 24,984.00",FLIPKART *0912,WUFPUAP1V9,INR
B140,28-Nov-2025,₹ 213.00,BOOKMYSHOW CORP,D29E1TBK4U,INR
B141,11/13/25,₹ 485.00,ZOMATO CORP,4VYH535SLN,INR
B142,2025.10.20,"₹ 5,003.00",SWIGGY/ONLINE,X5F0GBU9XG,INR
B143,12-Nov-2025,"₹ 14,991.00",BOOKMYSHOW POS-TRANS,EMDYMIOA2D,INR
B144,11/21/25,"₹ 1,021.00",DMART INDIA *0912,5MODC71YOJ,INR
B145,11/16/25,"₹ 1,001.00",PAYTM MALL INDIA CORP,JJ7W1CZMTS,INR
B146,2025.10.01,"₹ 25,001.00",GOOGLEPLAY_LTD,U4V4J3VPEE,INR
B147,03/11/2025,"₹ 10,007.00",AMAZON INDIA INDIA POS-TRANS,898P92LO4P,INR
B148,11/16/25,₹ 181.00,BIGBASKET CORP,SN9ECMMKQI,INR
B149,22/10/2025,₹ 482.00,IRCTC *0912,,INR
B150,04/10/2025,"₹ 10,009.00",PAYTM.MALL-INC,VGM35JBMAI,INR
B151,10/28/25,"₹ 1,518.00",OLA CORP,FILNPTN0I2,INR
B152,2025.10.27,"₹ 1,013.00",BIGBASKET/ONLINE,,INR
B153,16/11/2025,"₹ 15,005.00",NETFLIX *0912,F9K5IYA898,INR
B154,31-Oct-2025,"₹ 15,014.00",NETFLIX INDIA-INC,TU7DOTA0FP,INR
B155,04-Nov-2025,₹ 786.00,BIGBASKET_LTD,5J8HEYMHV1,INR
B156,2025.11.20,₹ 175.00,NETFLIX *0912,A134Y68GQC,INR
B157,13/11/2025,₹ 798.00,APPLE STORE CORP,TNHTMF39DM,INR
B158,11/11/25,"₹ 24,994.00",RELIANCE.MART *0912,YBD4ZTDPN1,INR
B159,10/04/25,₹ 500.00,SPOTIFY INDIA POS-TRANS,5FGHSRD9AL,INR
B160,17-Oct-2025,"₹ 1,509.00",OLA INDIA POS-TRANS,HFO9FXIODU,INR
B161,10/13/25,₹ 981.00,UBER-INC,UJJXNBDC86,INR
B162,2025.10.27,"₹ 1,517.00",UBER POS-TRANS,KK5ZOS99PF,INR
B163,2025.11.16,"₹ 1,519.00",UBER_LTD,1AFZJ0NHKJ,INR
B164,11/16/25,"₹ 9,996.00",INDIGO/ONLINE,E2QXR1WYMD,INR
B165,17/10/2025,"₹ 5,021.00",INDIGO *0912,VOYM8F2DQI,INR
B166,06/10/2025,"₹ 10,011.00",MAKEMYTRIP CORP,RXA4ZJ3FAN,INR
B167,10/23/25,₹ 488.00,DMART/ONLINE,T82HLWDS2U,INR
B168,2025.10.31,₹ 791.00,IRCTC_LTD,UE8ATA4U6J,INR
B169,10/11/25,"₹ 9,993.00",APPLE.STORE *0912,G61D62D2AU,INR
B170,23/11/2025,"₹ 1,506.00",OLA INDIA/ONLINE,FXF2RVK2CR,INR
B171,28/10/2025,"₹ 1,501.00",UBER CORP,EBOT841XRT,INR
B172,06-Oct-2025,₹ 192.00,INDIGO POS-TRANS,9FZV5WE42P,INR
B173,10/10/2025,₹ 984.00,FLIPKART *0912,QHFTLVF797,INR
B174,03-Nov-2025,"₹ 15,001.00",SWIGGY-INC,B9HJP12Q5T,INR
B175,2025.11.21,"₹ 25,019.00",AIRINDIA/ONLINE,9X4AG0331S,INR
B176,2025.10.22,₹ 811.00,RELIANCE.MART CORP,CVT6WRBAJ0,INR
B177,16/11/2025,₹ 211.00,INDIGO CORP,G958R5WCTW,INR
B178,10/05/25,₹ 514.00,OLA-INC,IA313P62V0,INR
B179,2025.11.01,₹ 807.00,AIR INDIA-INC,XTXEO95A89,INR
B180,08/11/2025,₹ 222.00,AMAZON INDIA_LTD,PHN6W20GRR,INR
B181,07-Nov-2025,₹ 289.00,MAKEMYTRIP POS-TRANS,QBZ3RJCXA9,INR
B182,11-Nov-2025,"₹ 25,004.00",IRCTC POS-TRANS,6136K3ZIHK,INR
B183,25/11/2025,"₹ 1,522.00",BIGBASKET-INC,R84RFW9QHJ,INR
B184,10/02/25,₹ 477.00,DMART_LTD,2IZ8P38CLA,INR
B185,23/11/2025,"₹ 2,490.00",RELIANCE.MART *0912,,INR
B186,09-Nov-2025,₹ 806.00,SPOTIFY CORP,,INR
B187,2025.10.07,"₹ 1,011.00",SPOTIFY INDIA/ONLINE,SKDOAWHCWQ,INR
B188,13-Nov-2025,₹ 497.00,NETFLIX-INC,,INR
B189,04-Oct-2025,₹ 982.00,GOOGLE_LTD,QLSOB4Y7T5,INR
B190,13-Nov-2025,₹ 189.00,AMAZON INDIA POS-TRANS,SUPYRLUCJK,INR
B191,11/04/25,₹ 784.00,IRCTC_LTD,TPG7QAFGUZ,INR
B192,04/11/2025,"₹ 1,501.00",UBER/ONLINE,L7NC9V01YZ,INR
B193,31-Oct-2025,"₹ 2,492.00",ZOMATO INDIA-INC,3W1QOSHU3S,INR
B194,12-Nov-2025,"₹ 24,994.00",ZOMATO_LTD,U6NI6494J8,INR
B195,2025.10.27,"₹ 1,012.00",BIGBASKET_LTD,F387UOZ4AE,INR
B196,18/11/2025,₹ 808.00,RELIANCE.MART *0912,KCA1GCVSOV,INR
B197,23-Oct-2025,"₹ 1,018.00",UBER POS-TRANS,GT98QQ6F41,INR
B198,01-Oct-2025,"₹ 5,013.00",SWIGGY INDIA-INC,XMS8ESHKLY,INR
B199,03-Oct-2025,"₹ 4,996.00",ZOMATO POS-TRANS,696LKUZBLM,INR
B200,06/10/2025,"₹ 1,005.00",GOOGLE PLAY INDIA POS-TRANS,VC8QFHWXE2,INR
B201,15/11/2025,₹ 208.00,OLA INDIA_LTD,85OXAHC7S9,INR
B202,2025.11.15,"₹ 1,496.00",FLIPKART/ONLINE,ESB5KY5FTE,INR
B203,16/10/2025,"₹ 24,982.00",AIR CORP,WLZBVYK9E1,INR
B204,04-Oct-2025,"₹ 1,486.00",AIR INDIA INDIA *0912,PHKDQBHSOL,INR
B205,22-Nov-2025,₹ 321.00,BOOKMYSHOW CORP,BCVWKL13LD,INR
B206,2025.10.31,"₹ 14,977.00",GOOGLE.PLAY *0912,Q4KQ99IC1J,INR
B207,12/10/2025,₹ 476.00,MAKEMYTRIP_LTD,F7NRIDNK03,INR
B208,2025.10.05,₹ 988.00,BIGBASKET POS-TRANS,N59MQIE6ZG,INR
B209,26/10/2025,"₹ 1,486.00",INDIGO POS-TRANS,,INR
B210,2025.11.07,"₹ 10,018.00",OLA *0912,Z6KWXJ5965,INR
B211,2025.11.22,₹ 493.00,AIR INDIA INDIA CORP,IYBLCKXYWE,INR
B212,10/24/25,"₹ 2,513.00",UBER POS-TRANS,,INR
B213,2025.10.11,"₹ 5,012.00",MAKEMYTRIP POS-TRANS,DJL4YTH2W1,INR
B214,2025.10.14,₹ 781.00,OLA POS-TRANS,MXZ2AZONN3,INR
B215,09/10/2025,"₹ 2,522.00",UBER-INC,C17OU4W820,INR
B216,24/10/2025,"₹ 1,505.00",BOOKMYSHOW/ONLINE,SL0GZRXKNN,INR
B217,2025.11.18,"₹ 1,499.00",MAKEMYTRIP POS-TRANS,AJYRDWPA58,INR
B218,2025.11.20,"₹ 2,495.00",BIGBASKET CORP,LX22KF4N9D,INR
B219,23-Oct-2025,₹ 984.00,NETFLIX POS-TRANS,,INR
B220,28-Nov-2025,₹ 271.00,BIGBASKET INDIA CORP,,INR
B221,03-Oct-2025,₹ 804.00,AMAZON INDIA INDIA POS-TRANS,494QW071A6,INR
B222,24-Oct-2025,₹ 490.00,OLA INDIA POS-TRANS,8DTMFK02ND,INR
B223,2025.10.27,₹ 497.00,OLA POS-TRANS,TMTE8IVYKT,INR
B224,2025.10.04,₹ 500.00,AIR.INDIA *0912,1WYRZ336RI,INR
B225,20/11/2025,₹ 822.00,ZOMATO-INC,261RPETFQG,INR
B226,10/04/25,"₹ 15,020.00",PAYTM.MALL *0912,CRUUFVDRO8,INR
B227,10/03/25,"₹ 9,981.00",GOOGLE PLAY CORP,26BR687ZTL,INR
B228,03/10/2025,₹ 193.00,NETFLIX *0912,7V1FB80VRI,INR
B229,21/10/2025,₹ 303.00,BIGBASKET INDIA/ONLINE,2WGA9ZAS1D,INR
B230,2025.10.12,₹ 308.00,SWIGGY-INC,C84GWMZQHB,INR
B231,23/11/2025,₹ 305.00,RELIANCE.MART CORP,4K8C9341EM,INR
B232,15-Nov-2025,₹ 816.00,AIR INDIA POS-TRANS,OI0I8WB5KI,INR
B233,11/28/25,₹ 993.00,APPLE.STORE-INC,SVBNVKQ1ZI,INR
B234,16/10/2025,₹ 211.00,MAKEMYTRIP POS-TRANS,XDRUGNMA0J,INR
B235,03/10/2025,"₹ 5,009.00",ZOMATO INDIA/ONLINE,AUI1XCI5AT,INR
B236,18/10/2025,"₹ 24,997.00",APPLE STORE_LTD,OEJ6ZMXF66,INR
B237,24-Oct-2025,"₹ 4,987.00",IRCTC CORP,PYETZ1BXRA,INR
B238,03/11/2025,"₹ 14,995.00",MYNTRA/ONLINE,07ZMLAC3NZ,INR
B239,2025.09.30,₹ 496.00,SPOTIFY-INC,J9X90N1WMB,INR
B240,14-Oct-2025,"₹ 9,994.00",ZOMATO/ONLINE,E5KK9RF2QY,INR
B241,25-Nov-2025,₹ 286.00,ZOMATO_LTD,03XHMTW7VG,INR
B242,2025.11.25,₹ 207.00,PAYTM MALL/ONLINE,5AO7Q2SDKR,INR
B243,06-Nov-2025,"₹ 4,994.00",AMAZONINDIA CORP,T6B6TFF5S4,INR
B244,10/05/25,"₹ 25,015.00",BOOKMYSHOW-INC,JTF5H3MCW7,INR
B245,03/11/2025,"₹ 1,494.00",SWIGGY CORP,,INR
B246,01/11/2025,"₹ 1,499.00",OLA-INC,XJ8SVRBOWI,INR
B247,01-Nov-2025,"₹ 24,996.00",DMART *0912,,INR
B248,2025.10.16,₹ 792.00,FLIPKART POS-TRANS,I6QRD2Y1EP,INR
B249,10-Oct-2025,"₹ 2,474.00",MAKEMYTRIP CORP,9AECUIY75Z,INR
B250,01-Nov-2025,₹ 488.00,PAYTMMALL POS-TRANS,,INR
B251,11/10/2025,"₹ 9,974.00",PAYTM MALL_LTD,,INR
B252,11/11/25,₹ 306.00,MAKEMYTRIP CORP,7AH23PYLQM,INR
B253,2025.10.20,₹ 990.00,FLIPKART CORP,USR2SBSLRS,INR
B254,07/10/2025,"₹ 14,993.00",RELIANCEMART CORP,T4E3DP3ZJV,INR
B255,22/10/2025,"₹ 10,021.00",AMAZONINDIA POS-TRANS,,INR
B256,10/07/25,"₹ 1,014.00",BIGBASKET CORP,XVUE3QUWFV,INR
B257,10/01/25,"₹ 14,998.00",BOOKMYSHOW/ONLINE,0OPZ8DTFGG,INR
B258,27-Oct-2025,₹ 498.00,APPLESTORE POS-TRANS,2A965FKFX5,INR
B259,23-Nov-2025,"₹ 15,026.00",OLA/ONLINE,PNJ8H396SE,INR
B260,2025.11.07,"₹ 1,000.00",IRCTC POS-TRANS,SXIMMVPRVW,INR
B261,22-Oct-2025,₹ 494.00,AIR.INDIA POS-TRANS,,INR
B262,28-Oct-2025,₹ 808.00,SWIGGY CORP,XPTTDX5W8P,INR
B263,01-Oct-2025,₹ 788.00,UBER INDIA/ONLINE,4O5R82LU1R,INR
B264,2025.11.13,₹ 179.00,SPOTIFY-INC,GNV1ATBIQJ,INR
B265,2025.10.17,₹ 526.00,UBER_LTD,FF910C2CTB,INR
B266,2025.11.24,"₹ 1,480.00",APPLE STORE INDIA-INC,T43N5F5FLZ,INR
B267,26-Nov-2025,"₹ 15,007.00",APPLE.STORE-INC,TZ7Y63XAEU,INR
B268,12-Oct-2025,"₹ 14,982.00",SPOTIFY/ONLINE,4DDXFWRETK,INR
B269,17-Nov-2025,"₹ 15,007.00",MAKEMYTRIP *0912,PCMF9PB55S,INR
B270,2025.10.19,"₹ 10,017.00",NETFLIX *0912,S7WO2QCPXS,INR
B271,15/11/2025,"₹ 9,989.00",RELIANCE POS-TRANS,,INR
B272,2025.10.18,"₹ 1,503.00",FLIPKART CORP,0TCJ788YZH,INR
B273,15/10/2025,"₹ 1,519.00",MAKEMYTRIP CORP,WIASAK9KPK,INR
B274,2025.10.21,"₹ 25,019.00",APPLE STORE_LTD,RLM7I1RF1M,INR
B275,2025.11.13,₹ 189.00,DMART_LTD,ZOAJCRZLCM,INR
B276,08/11/2025,"₹ 14,969.00",SPOTIFY *0912,9XWGMKUMNQ,INR
B277,2025.10.24,₹ 216.00,FLIPKART/ONLINE,VPEWKMK2ZP,INR
B278,2025.11.17,"₹ 9,983.00",PAYTM MALL/ONLINE,00AASZRY1A,INR
B279,2025.11.10,₹ 996.00,RELIANCE MART CORP,8PENL490VA,INR
B280,2025.10.24,"₹ 2,469.00",RELIANCE MART CORP,G973THZZ6T,INR
B281,17-Nov-2025,₹ 226.00,FLIPKART_LTD,Z59W9CRFLB,INR
B282,10/24/25,₹ 509.00,NETFLIX CORP,H10YZVLWV4,INR
B283,12/11/2025,"₹ 2,518.00",OLA *0912,6CAGKJ6VL5,INR
B284,10/09/25,"₹ 15,019.00",ZOMATO_LTD,V4HNMP4G0A,INR
B285,22-Nov-2025,₹ 509.00,MAKEMYTRIP *0912,4ER9NE98ZJ,INR
B286,11/20/25,₹ 288.00,SPOTIFY/ONLINE,QLQR2HD0LT,INR
B287,30-Nov-2025,₹ 513.00,ZOMATO INDIA/ONLINE,2Y270PAPZT,INR
B288,01-Nov-2025,"₹ 10,015.00",RELIANCE MART CORP,WY4H4G6F96,INR
B289,06/11/2025,"₹ 2,488.00",DMART/ONLINE,,INR
B290,23/10/2025,"₹ 4,987.00",MAKEMYTRIP CORP,AAXCJKE2LC,INR
B291,2025.10.07,"₹ 10,025.00",MAKEMYTRIP INDIA-INC,E28AZDM2H2,INR
B292,03-Oct-2025,₹ 195.00,SWIGGY INDIA-INC,D1ZE5QHM3G,INR
B293,04-Nov-2025,"₹ 15,000.00",PAYTM *0912,UI07F0HS1X,INR
B294,11/05/25,₹ 187.00,SPOTIFY POS-TRANS,TKAAXM34YN,INR
B295,2025.10.13,₹ 220.00,MAKEMYTRIP INDIA *0912,C7LGLOX1G6,INR
B296,14-Oct-2025,₹ 777.00,APPLE STORE *0912,ZJHGV5PHK8,INR
B297,12/10/2025,₹ 312.00,ZOMATO_LTD,UROIZ9VEQY,INR
B298,30-Oct-2025,₹ 778.00,IRCTC POS-TRANS,QT6LT0U7HT,INR
B299,17/11/2025,₹ 810.00,ZOMATO POS-TRANS,43LDHOZY9B,INR
B300,2025.10.13,"₹ 2,507.00",OLA POS-TRANS,5GD2BNZAAM,INR
B301,10/01/25,₹ 307.00,INDIGO-INC,7BYHOTJT0L,INR
B302,11/16/25,₹ 193.00,DMART *0912,EIAAU4E212,INR
B303,10/31/25,₹ 187.00,SWIGGY CORP,DL7VC6QTOQ,INR
B304,2025.11.27,"₹ 1,494.00",ZOMATO/ONLINE,L3CB0T24JI,INR
B305,11/21/25,"₹ 1,013.00",SWIGGY INDIA_LTD,,INR
B306,25/11/2025,"₹ 1,513.00",DMART-INC,X8YI2FVL95,INR
B307,06-Nov-2025,₹ 798.00,SWIGGY CORP,,INR
B308,13/11/2025,₹ 817.00,MAKEMYTRIP *0912,NK84TG1VSW,INR
B309,2025.11.29,"₹ 24,983.00",AIR/ONLINE,W89ULEC9LO,INR
B310,2025.11.15,₹ 476.00,FLIPKART-INC,G6OL6LNX6U,INR
B311,11/06/25,"₹ 2,487.00",SWIGGY-INC,O0TEMV7I5O,INR
