txn_id,entry_date,amt,vendor,ref_code,cur
L110,12-10-2025,25016,Reliance Mart,JSMYXRZ1UU,INR
L111,18-11-2025,1510,Paytm Mall,M0Z1RCWDNF,INR
L112,05-10-2025,1010,Apple Store,KE8M8WZWXH,INR
L113,08-10-2025,306,Myntra,BPZS6CHFBY,INR
L114,19-11-2025,9989,Zomato,IB06RNGBPI,INR
L115,22-11-2025,9986,Apple Store,VCWTA0DF5Z,INR
L116,30-10-2025,10005,Flipkart,BCF416H135,INR
L117,26-10-2025,14982,MakeMyTrip,26R9ER8D7M,INR
L118,21-10-2025,803,DMart,EDC130QJNZ,INR
L119,05-11-2025,14983,Reliance Mart,6GOZ0SL16S,INR
L120,31-10-2025,815,Reliance Mart,XCLHCHTU5Z,INR
L121,31-10-2025,2481,Ola,QLABDSL6WE,INR
L122,28-11-2025,288,BookMyShow,C8L7VN9LHD,INR
L123,18-11-2025,987,BigBasket,J39BEW3B1E,INR
L124,05-10-2025,25018,Reliance Mart,PKAYGM7JNU,INR
L125,30-10-2025,2518,Apple Store,SAPBYJFMEF,INR
L126,20-10-2025,15000,Netflix,9OT3U4SM51,INR
L127,04-10-2025,9994,DMart,YG3BXCEIQD,INR
L128,26-11-2025,813,IndiGo,BVSEYOVWR4,INR
L129,10-11-2025,309,DMart,48ZDUNOMBZ,INR
L130,28-11-2025,25011,Apple Store,U7RBRVTY0L,INR
L131,17-10-2025,807,Air India,NEOAG5A0QS,INR
L132,10-11-2025,505,BigBasket,VXZ3R82NW5,INR
L133,21-10-2025,1513,IndiGo,J1NHUVB973,INR
L134,20-11-2025,318,IRCTC,Z99K1DW51K,INR
L135,31-10-2025,1479,Apple Store,9T8FOCB6OD,INR
L136,11-10-2025,14996,Uber,U9RZ25RLWV,INR
L137,11-11-2025,14992,Reliance Mart,7LXK0O0JGN,INR
L138,08-11-2025,996,Google Play,IDRDK6VCDZ,INR
L139,25-10-2025,809,Swiggy,C4KOTNQ500,INR
L140,23-11-2025,806,DMart,PCOKEPSSKA,INR
L141,02-11-2025,10017,Google Play,R9DN9JBYDI,INR
L142,10-10-2025,9985,Paytm Mall,7B210WQ537,INR
L143,05-10-2025,4990,Swiggy,IZ000J5GCR,INR
L144,14-10-2025,285,Paytm Mall,M0QP72K4WK,INR
L145,25-11-2025,519,Flipkart,PYP7FKOMHR,INR
L146,25-10-2025,4995,Reliance Mart,9C5YV9O86I,INR
L147,09-10-2025,2481,Air India,IRVRJK6Q4R,INR
L148,18-10-2025,14985,Paytm Mall,4EUIVB17IP,INR
L149,06-11-2025,4979,Air India,TZLF0TBLIZ,INR
L150,10-11-2025,2495,Apple Store,NRUJWFJDR9,INR
L151,17-11-2025,10014,Reliance Mart,FI4XZV0UA6,INR
L152,14-10-2025,25019,BookMyShow,PMFCKUY91O,INR
L153,21-11-2025,805,Uber,8IW2DATC15,INR
L154,16-11-2025,14979,Swiggy,WXXOF5JGTC,INR
L155,20-11-2025,9997,Amazon India,3XF35253E4,INR
L156,07-11-2025,1492,Uber,281SWN13BU,INR
L157,28-10-2025,1481,Zomato,8RAYOXI1P2,INR
L158,17-10-2025,516,Reliance Mart,WX2J9A0DZH,INR
L159,30-11-2025,280,Google Play,SPGBEH0FSX,INR
L160,15-10-2025,492,Uber,VIW357XBHR,INR
L161,19-10-2025,317,Amazon India,1JGIQRTDRN,INR
L162,07-10-2025,15003,Flipkart,JZ4S4A615I,INR
L163,02-11-2025,486,Uber,2OZMEMD6L3,INR
L164,30-11-2025,516,Zomato,2Y270PAPZT,INR
L165,30-11-2025,4983,MakeMyTrip,ACH9C8JIGZ,INR
L166,06-11-2025,4987,IndiGo,WOELYO1V0A,INR
L167,14-10-2025,292,Uber,CBWFDHR2P9,INR
L168,02-10-2025,182,Swiggy,NM0E00GBL7,INR
L169,26-10-2025,507,DMart,1NVASS73N3,INR
L170,22-10-2025,504,Flipkart,8H4KLXRYB1,INR
L171,15-11-2025,185,BigBasket,SN9ECMMKQI,INR
L172,01-10-2025,1007,MakeMyTrip,9RCFDUFYJD,INR
L173,18-10-2025,25005,Myntra,E16OGR24DK,INR
L174,01-11-2025,2503,BigBasket,7LQ3GIWAC9,INR
L175,28-11-2025,782,BigBasket,RONOSLV61G,INR
L176,05-11-2025,15007,Amazon India,B3KOLAI3S0,INR
L177,20-11-2025,4986,Air India,2OOSSD9NHR,INR
L178,02-10-2025,10002,Apple Store,CF75MEQ5JP,INR
L179,20-10-2025,1008,IRCTC,VCA0SYXD9H,INR
L180,26-10-2025,298,Spotify,HOELPHXH5F,INR
L181,25-10-2025,14985,Amazon India,1U1I91J7EW,INR
L182,15-10-2025,992,Google Play,TT6KXF7TN5,INR
L183,18-10-2025,14992,Myntra,BTYCYUJ6NZ,INR
L184,12-11-2025,286,Google Play,PCGNGAABEJ,INR
L185,22-11-2025,4980,IRCTC,PXONP5Z4KF,INR
L186,16-11-2025,1499,Spotify,LKF2LECOIV,INR
L187,26-10-2025,9985,Amazon India,OF5CE00AEA,INR
L188,26-10-2025,795,Apple Store,MQ7TYIO6OQ,INR
L189,08-11-2025,15018,MakeMyTrip,ANYJ2UZV9A,INR
L190,08-10-2025,192,Spotify,X5LGR4D93O,INR
L191,20-11-2025,14985,IRCTC,GG545XO3VY,INR
L192,13-10-2025,24984,Paytm Mall,UT9CT1G96F,INR
L193,31-10-2025,14979,Google Play,Q4KQ99IC1J,INR
L194,27-10-2025,502,Google Play,FAZLM0FB8K,INR
L195,01-11-2025,4996,Zomato,GY5E2MJG8B,INR
L196,06-10-2025,2499,Netflix,2V3KHCD9NX,INR
L197,27-11-2025,4989,MakeMyTrip,D1PKZ2BR17,INR
L198,27-11-2025,1016,Air India,HRC6QVQF7N,INR
L199,12-10-2025,25002,Air India,KCK2KCLKXY,INR
L200,07-11-2025,25016,Reliance Mart,1S2FIYC0NW,INR
L201,11-10-2025,805,Zomato,9PVG56EQO8,INR
L202,08-11-2025,2497,MakeMyTrip,K0H6AB0TEA,INR
L203,10-11-2025,15013,Ola,39UUWQUU8Z,INR
L204,01-10-2025,5006,IndiGo,Q4HV4CA7LG,INR
L205,01-11-2025,291,Amazon India,BLQ2KZ01N1,INR
L206,30-11-2025,24984,Netflix,F200CNXMIG,INR
L207,17-11-2025,1003,IndiGo,GB3N6SQ8Y1,INR
L208,01-11-2025,179,Myntra,CYAE2B8H4C,INR
L209,12-11-2025,209,BookMyShow,XHMTETX64Y,INR
L210,02-11-2025,25015,Amazon India,1X1PGGCAJA,INR
L211,20-11-2025,980,IRCTC,J9UQWD3P2R,INR
L212,13-11-2025,9996,Swiggy,ED7K4GZIHK,INR
L213,04-11-2025,293,Netflix,TPUDVGTF6T,INR
L214,16-10-2025,203,MakeMyTrip,XDRUGNMA0J,INR
L215,08-10-2025,15014,IRCTC,8EZRTCKRRH,INR
L216,24-11-2025,499,Ola,PGIFWHLJJJ,INR
L217,12-11-2025,9989,Flipkart,U2F1S54X1F,INR
L218,11-10-2025,5006,Google Play,XNA07UCTB0,INR
L219,13-11-2025,4988,Flipkart,E1EVF9FEY8,INR
L220,03-11-2025,10008,Paytm Mall,8RD741RPWB,INR
L221,01-11-2025,2494,Reliance Mart,P43PZZWTZY,INR
L222,05-11-2025,2483,Reliance Mart,K42P9F3STJ,INR
L223,25-11-2025,14999,Myntra,Y8RMRKOV9C,INR
L224,13-10-2025,24981,Air India,PPNTS4DFFV,INR
L225,29-10-2025,5009,IRCTC,OTXB55TIHP,INR
L226,04-11-2025,2495,Google Play,X2Z1YQBO3N,INR
L227,06-11-2025,193,Reliance Mart,5N502UT44H,INR
L228,11-10-2025,24997,Ola,TEKZEOWEIF,INR
L229,15-11-2025,2506,Spotify,C2JUV6ZVPJ,INR
L230,05-10-2025,2519,Flipkart,FDDI0VR7Z9,INR
L231,09-10-2025,14994,Apple Store,DFGB0M4EDS,INR
L232,28-11-2025,502,Ola,T63MWNLVOF,INR
L233,15-10-2025,317,MakeMyTrip,7F3VQDYGB5,INR
L234,26-11-2025,25006,Spotify,5N3IQ2PIHM,INR
L235,11-11-2025,185,DMart,CAP7IZ2H9S,INR
L236,07-10-2025,10017,MakeMyTrip,RXA4ZJ3FAN,INR
L237,02-10-2025,312,Spotify,NZUTM11337,INR
L238,12-11-2025,1513,Flipkart,32DUF3CLVZ,INR
L239,10-11-2025,197,Apple Store,N89DOHNUQM,INR
L240,29-10-2025,5004,DMart,WZPKLNSQ7F,INR
L241,04-11-2025,4993,DMart,8J466DLPYU,INR
L242,30-11-2025,2498,Myntra,BKREJZHVL8,INR
L243,24-11-2025,1500,Uber,UE067ZDBDQ,INR
L244,16-10-2025,279,DMart,EXEZ950AQ2,INR
L245,21-10-2025,14985,Google Play,0LTYZG7K90,INR
L246,22-11-2025,24984,Amazon India,Y1ULRGYADN,INR
L247,14-10-2025,10003,Air India,H2VSZQGUP4,INR
L248,24-11-2025,10009,BigBasket,0UV07QA4KA,INR
L249,14-11-2025,25019,Swiggy,Z8SPIJ3CI2,INR
L250,30-10-2025,1004,Apple Store,2NHMJWUWOG,INR
L251,05-10-2025,991,Air India,VPLG647V8B,INR
L252,04-11-2025,494,MakeMyTrip,L8J96Z7L64,INR
L253,12-10-2025,507,IndiGo,A910K8TANL,INR
L254,30-10-2025,811,Swiggy,PCZS55YBSO,INR
L255,15-10-2025,283,MakeMyTrip,8QLHZL92PG,INR
L256,23-11-2025,2495,Spotify,QMU5G8U0J4,INR
L257,27-11-2025,301,Reliance Mart,G01IBSKCKK,INR
L258,21-10-2025,2519,Spotify,X8B3E9DRS4,INR
L259,18-10-2025,810,MakeMyTrip,YJ6G8ZGC4L,INR
L260,03-10-2025,9979,Myntra,IPWHAJHE9E,INR
L261,17-10-2025,203,DMart,I8U1MTAATN,INR
L262,13-11-2025,798,Netflix,XWMGIO8YUR,INR
L263,07-11-2025,5004,Spotify,3CQD9JL81B,INR
L264,10-10-2025,289,Swiggy,CMOQLXO9M7,INR
L265,13-11-2025,479,Netflix,1T3JO4C37W,INR
L266,01-11-2025,798,Swiggy,WV2FD6F0AZ,INR
L267,14-10-2025,204,BigBasket,IEK45SBK27,INR
L268,18-11-2025,812,Uber,9CCXO1KQVF,INR
L269,13-11-2025,1499,Ola,SI31QF8L01,INR
L270,02-10-2025,25010,BigBasket,JGCMH0YWEN,INR
L271,20-10-2025,499,Ola,1WIKX2ORFP,INR
L272,03-10-2025,2489,Swiggy,Z6J3V3TWTQ,INR
L273,15-11-2025,192,IRCTC,F424Y6NUZO,INR
L274,12-11-2025,1483,Uber,SIDBRKZKL1,INR
L275,10-10-2025,1508,BigBasket,QP9RRRE3EB,INR
L276,20-10-2025,204,DMart,VR8QW4RAVF,INR
L277,11-10-2025,10007,MakeMyTrip,2G432PFHJI,INR
L278,14-11-2025,1510,Uber,FVUMSYIL3Y,INR
L279,18-10-2025,15012,IRCTC,HUIS0XT7B3,INR
L280,11-10-2025,9981,Paytm Mall,B5XXG5NNR0,INR
L281,06-11-2025,313,Myntra,G71Q2RV813,INR
L282,26-11-2025,984,Reliance Mart,XBTGBRFEUB,INR
L283,26-11-2025,279,MakeMyTrip,J3EBEMUC95,INR
L284,09-11-2025,813,Apple Store,Q1FNNNQDG2,INR
L285,17-10-2025,5005,Flipkart,ZKTM3KXSX3,INR
L286,16-10-2025,9982,Netflix,GQXHJQ74S2,INR
L287,17-11-2025,813,Reliance Mart,VD37Y6437B,INR
L288,12-11-2025,196,Paytm Mall,EU7EYU6Q28,INR
L289,01-11-2025,15017,Google Play,6BQ5GU64AK,INR
L290,21-10-2025,15007,Apple Store,Z6EDY4CQA7,INR
L291,21-11-2025,4979,Ola,5DNZKJ9EOA,INR
L292,16-11-2025,25005,IRCTC,TQLZ1304U9,INR
L293,14-10-2025,308,Air India,KHFOYP06WC,INR
L294,23-11-2025,814,Reliance Mart,I7CM334G8W,INR
L295,07-11-2025,1001,IRCTC,33F5FDDZI5,INR
L296,20-10-2025,2481,Spotify,YE7F1N9JEL,INR
L297,23-11-2025,24999,Paytm Mall,ELLNT1GH7Q,INR
L298,28-10-2025,15010,Zomato,3F1M12Z2FS,INR
L299,18-10-2025,491,Swiggy,RRX2T7AQD4,INR
L300,01-10-2025,10009,Flipkart,HIFFNBLU3B,INR
L301,20-11-2025,14981,IRCTC,TKMAM8WV0Y,INR
L302,30-10-2025,14989,Uber,KK6II6CQKF,INR
L303,12-11-2025,799,Air India,ZQEYHQXIMD,INR
L304,08-11-2025,517,BookMyShow,VMG2UMI71K,INR
L305,05-10-2025,24998,Myntra,3B8N59VG3Z,INR
L306,05-11-2025,1490,Spotify,KO7HDLZHHC,INR
L307,10-10-2025,25008,DMart,AZLO6CURJY,INR
L308,30-10-2025,1486,IRCTC,US43LWGVXV,INR
L309,24-11-2025,1492,Uber,NE1V0TL7R9,INR
L310,14-10-2025,4983,Ola,ALFV4VYHGE,INR
L311,18-11-2025,14983,DMart,GUXF0MT56V,INR
L312,04-10-2025,15003,BigBasket,TTL94RNZ7R,INR
L313,01-10-2025,2485,Ola,1AMW4X3S3O,INR
L314,15-11-2025,4979,Apple Store,53K1SBVOKR,INR
L315,09-11-2025,1509,Google Play,PSRRUNLCTB,INR
L316,16-10-2025,14992,Netflix,K98IWBX26P,INR
L317,30-11-2025,14996,IndiGo,W5KRWGSBM2,INR
L318,21-11-2025,212,IndiGo,UD7VS9DB2S,INR
L319,23-10-2025,786,Apple Store,WWCLBN3ZF9,INR
L320,03-10-2025,502,IndiGo,BAUEMB7E1K,INR
L321,27-10-2025,25013,BigBasket,RHRZ5XNA0X,INR
L322,06-10-2025,25015,Uber,AI1FG6WB5J,INR
L323,16-10-2025,287,Amazon India,BBT88YR99K,INR
L324,17-11-2025,187,Swiggy,ZUVJT6HEMJ,INR
L325,09-10-2025,1015,IndiGo,2VEJ4KPXY8,INR
L326,02-11-2025,10014,Air India,SU7RWVFQKR,INR
L327,18-10-2025,1517,MakeMyTrip,67SF6AEUVZ,INR
L328,29-11-2025,497,Amazon India,4NFY10J97F,INR
L329,23-10-2025,502,BookMyShow,ER1WIR8FZ0,INR
L330,07-10-2025,209,Reliance Mart,ZAN22T015U,INR
L331,15-11-2025,493,Google Play,HIDS48D7C3,INR
L332,01-11-2025,307,Reliance Mart,JA36340MZG,INR
L333,31-10-2025,999,Amazon India,878ZEJVP4R,INR
L334,14-10-2025,979,Amazon India,IPD2NIY03X,INR
L335,22-10-2025,185,Swiggy,CPG4EJVDN2,INR
L336,10-10-2025,490,Ola,N2X2XN6VWG,INR
L337,03-11-2025,216,IRCTC,66TB83FYMK,INR
L338,21-10-2025,494,MakeMyTrip,EZ1I9GAI4F,INR
L339,19-11-2025,25018,Swiggy,XXR9RA680J,INR
L340,09-10-2025,213,Flipkart,6FP128574Q,INR
L341,13-11-2025,282,Netflix,U80H4VS61Z,INR
L342,16-11-2025,1015,BookMyShow,H3Z42NGDO7,INR
L343,19-11-2025,25015,Ola,R7A5C1XCMO,INR
L344,10-10-2025,1494,Google Play,705O0FMZSJ,INR
L345,07-11-2025,1480,Paytm Mall,N0NOF0AYM4,INR
L346,13-11-2025,319,IRCTC,9TI780JJW1,INR
L347,18-11-2025,2506,Paytm Mall,WTZGUE6MXI,INR
L348,14-11-2025,9985,DMart,K8N09LA483,INR
L349,29-11-2025,188,Amazon India,YPVYHCZKA6,INR
L350,18-10-2025,782,Reliance Mart,4Z7OT76N1H,INR
L351,24-10-2025,185,Flipkart,RI3JTPNOWX,INR
L352,26-11-2025,4992,Air India,SJ9GKSUKQI,INR
L353,16-11-2025,15009,Netflix,F9K5IYA898,INR
L354,10-10-2025,14988,IndiGo,6012ZWRNZN,INR
L355,31-10-2025,2483,BookMyShow,B1MGCPW8RS,INR
L356,23-10-2025,208,BookMyShow,MB6SO4VYYF,INR
L357,18-11-2025,1000,Flipkart,IC4T8VS3BR,INR
L358,31-10-2025,4998,Google Play,0PJ8U0AKWT,INR
L359,14-10-2025,794,Myntra,4EIO0PEW7U,INR
L360,21-11-2025,213,BigBasket,NJSY0E58FZ,INR
L361,07-11-2025,10017,Ola,Z6KWXJ5965,INR
L362,16-11-2025,5002,BookMyShow,VCF0E7KBHB,INR
L363,29-11-2025,9983,Myntra,IC82YZXX5Y,INR
L364,25-10-2025,499,Reliance Mart,14TZJIR34B,INR
L365,18-11-2025,799,Netflix,EBIFLGEUEA,INR
L366,09-10-2025,812,Ola,YG7ZO1A1OX,INR
L367,15-10-2025,993,Zomato,CREHSPA7IA,INR
L368,16-10-2025,313,Apple Store,5HSEUF9Q36,INR
L369,01-10-2025,24979,Google Play,XWXJXAMHXS,INR
L370,03-11-2025,2511,Netflix,XFEQFQ19IQ,INR
L371,29-11-2025,15019,BookMyShow,64V1CFFBY9,INR
L372,24-11-2025,24994,Spotify,8XFQN814X4,INR
L373,24-11-2025,1003,MakeMyTrip,HU8VU93A3P,INR
L374,29-11-2025,285,BookMyShow,D46FGACI3Q,INR
L375,29-11-2025,4986,Air India,2ART1KTFVS,INR
L376,23-11-2025,1489,Uber,KJJOC2RVDV,INR
L377,03-11-2025,816,Air India,TU9Z3U4R52,INR
L378,06-11-2025,9996,BookMyShow,RIXLSCA5PM,INR
L379,13-11-2025,184,Amazon India,SUPYRLUCJK,INR
L380,02-10-2025,307,BookMyShow,FO6BNZ80OK,INR
L381,29-11-2025,479,Amazon India,VY51R0LMSC,INR
L382,18-10-2025,5008,IndiGo,VI4LKXWG90,INR
L383,06-10-2025,15016,IndiGo,B2KBZMJ1EZ,INR
L384,08-11-2025,9992,Air India,K5UUFIJHSI,INR
L385,22-10-2025,292,Reliance Mart,H8S8KUPL5P,INR
L386,14-10-2025,980,IndiGo,165ARU8493,INR
L387,13-10-2025,14988,Apple Store,H4M7UQQ6J8,INR
L388,30-11-2025,805,Zomato,VTROOTBJZ9,INR
L389,02-11-2025,479,DMart,T2E6AAWWS0,INR
L390,02-11-2025,24993,DMart,4Z0VDWLJY8,INR
L391,11-11-2025,991,BigBasket,HYN5XVY7FY,INR
L392,17-11-2025,491,Flipkart,Q312QAR0J3,INR
L393,18-10-2025,14989,Reliance Mart,WONJCGV2MP,INR
L394,05-10-2025,4987,DMart,WERXGTZTD7,INR
L395,22-10-2025,493,DMart,T82HLWDS2U,INR
L396,10-11-2025,180,Amazon India,GLZ49GKV3U,INR
L397,06-10-2025,5000,Swiggy,QLH0H1B9GL,INR
L398,12-11-2025,24997,Reliance Mart,YBD4ZTDPN1,INR
L399,25-11-2025,14985,Spotify,3OS7RDZZTN,INR
L400,28-10-2025,203,BookMyShow,NI2WNPTC4I,INR
L401,05-10-2025,984,Google Play,QLSOB4Y7T5,INR
L402,29-11-2025,14990,Paytm Mall,TX8GUGIOPB,INR
L403,23-10-2025,24993,Air India,7O8VT08C0K,INR
L404,13-11-2025,215,Ola,0X2X5YDOU3,INR
L405,26-11-2025,4995,IRCTC,ACN3A8DTL7,INR
L406,25-10-2025,204,Myntra,RQOS7CFCXV,INR
L407,17-11-2025,498,Zomato,WVWDJ7BL50,INR
L408,28-11-2025,1000,Zomato,G80VZOGUOQ,INR
L409,31-10-2025,2482,DMart,OWBYF35YP3,INR
L410,12-11-2025,290,Google Play,XKQWQW49L9,INR
L411,12-11-2025,4995,Zomato,AIBUF2YHYR,INR
L412,25-10-2025,24997,Netflix,1H8AZ95Q1M,INR
L413,03-11-2025,508,BigBasket,ZLFOF62P73,INR
L414,19-10-2025,14979,Flipkart,5FO50VSX35,INR
L415,15-11-2025,14980,Zomato,POFUN1WZAS,INR
L416,24-11-2025,283,Uber,WSX3MQM70F,INR
L417,25-10-2025,9983,Uber,MYNJ9ZXTH6,INR
L418,13-11-2025,24998,IndiGo,O2SY0XLLZN,INR
L419,18-10-2025,780,Swiggy,Z1MQTZ3CWZ,INR
L420,04-10-2025,25008,BookMyShow,JTF5H3MCW7,INR
L421,03-10-2025,2483,Google Play,8IYHJ6YEDQ,INR
L422,12-11-2025,4985,Flipkart,T925WAV96H,INR
L423,17-10-2025,14985,Uber,KKW5DXD69E,INR
L424,28-10-2025,815,DMart,GAERKT9FKJ,INR
L425,01-11-2025,2491,Reliance Mart,EY75H99DW7,INR
L426,18-11-2025,10004,IndiGo,JLOIAI0R2Q,INR
L427,24-11-2025,9987,Amazon India,E32VUWO7RO,INR
L428,14-11-2025,4996,DMart,PY6KW0FHS1,INR
L429,22-10-2025,209,BookMyShow,V3USLY1XUG,INR
L430,01-10-2025,24982,DMart,ZJQHG5A8IC,INR
L431,13-10-2025,517,BookMyShow,JANRM8ZTU1,INR
L432,17-10-2025,14997,MakeMyTrip,3082UCP0JZ,INR
L433,27-10-2025,14982,Apple Store,1LEI4RPQAP,INR
L434,09-10-2025,25011,Swiggy,LVI2FQIQL7,INR
L435,31-10-2025,10007,BigBasket,KE51UDKFW8,INR
L436,07-11-2025,10015,Zomato,JASR8BAUT6,INR
