id,date,amount,merchant,merchant_clean,reference,currency,source
B187,2025-10-07,1011.0,SPOTIFY INDIA/ONLINE,spotify,SKDOAWHCWQ,INR,bank
B188,2025-11-13,497.0,NETFLIX-INC,netflix,,INR,bank
B189,2025-10-04,982.0,GOOGLE_LTD,google,QLSOB4Y7T5,INR,bank
B190,2025-11-13,189.0,AMAZON INDIA POS-TRANS,amazon,SUPYRLUCJK,INR,bank
B191,2025-11-04,784.0,IRCTC_LTD,irctc,TPG7QAFGUZ,INR,bank
B192,2025-11-04,1501.0,UBER/ONLINE,uber,L7NC9V01YZ,INR,bank
B193,2025-10-31,2492.0,ZOMATO INDIA-INC,zomato,3W1QOSHU3S,INR,bank
B194,2025-11-12,24994.0,ZOMATO_LTD,zomato,U6NI6494J8,INR,bank
B195,2025-10-27,1012.0,BIGBASKET_LTD,bigbasket,F387UOZ4AE,INR,bank
B196,2025-11-18,808.0,RELIANCE.MART *0912,reliance mart 0912,KCA1GCVSOV,INR,bank
B197,2025-10-23,1018.0,UBER POS-TRANS,uber,GT98QQ6F41,INR,bank
B198,2025-10-01,5013.0,SWIGGY INDIA-INC,swiggy,XMS8ESHKLY,INR,bank
B199,2025-10-03,4996.0,ZOMATO POS-TRANS,zomato,696LKUZBLM,INR,bank
B200,2025-10-06,1005.0,GOOGLE PLAY INDIA POS-TRANS,google play,VC8QFHWXE2,INR,bank
B201,2025-11-15,208.0,OLA INDIA_LTD,ola,85OXAHC7S9,INR,bank
B202,2025-11-15,1496.0,FLIPKART/ONLINE,flipkart,ESB5KY5FTE,INR,bank
B203,2025-10-16,24982.0,AIR CORP,air,WLZBVYK9E1,INR,bank
B204,2025-10-04,1486.0,AIR INDIA INDIA *0912,air 0912,PHKDQBHSOL,INR,bank
B205,2025-11-22,321.0,BOOKMYSHOW CORP,bookmyshow,BCVWKL13LD,INR,bank
B206,2025-10-31,14977.0,GOOGLE.PLAY *0912,google play 0912,Q4KQ99IC1J,INR,bank
B207,2025-10-12,476.0,MAKEMYTRIP_LTD,makemytrip,F7NRIDNK03,INR,bank
B208,2025-10-05,988.0,BIGBASKET POS-TRANS,bigbasket,N59MQIE6ZG,INR,bank
B209,2025-10-26,1486.0,INDIGO POS-TRANS,indigo,,INR,bank
B210,2025-11-07,10018.0,OLA *0912,ola 0912,Z6KWXJ5965,INR,bank
B211,2025-11-22,493.0,AIR INDIA INDIA CORP,air,IYBLCKXYWE,INR,bank
B212,2025-10-24,2513.0,UBER POS-TRANS,uber,,INR,bank
B213,2025-10-11,5012.0,MAKEMYTRIP POS-TRANS,makemytrip,DJL4YTH2W1,INR,bank
B214,2025-10-14,781.0,OLA POS-TRANS,ola,MXZ2AZONN3,INR,bank
B215,2025-10-09,2522.0,UBER-INC,uber,C17OU4W820,INR,bank
B216,2025-10-24,1505.0,BOOKMYSHOW/ONLINE,bookmyshow,SL0GZRXKNN,INR,bank
B217,2025-11-18,1499.0,MAKEMYTRIP POS-TRANS,makemytrip,AJYRDWPA58,INR,bank
B218,2025-11-20,2495.0,BIGBASKET CORP,bigbasket,LX22KF4N9D,INR,bank
B219,2025-10-23,984.0,NETFLIX POS-TRANS,netflix,,INR,bank
B220,2025-11-28,271.0,BIGBASKET INDIA CORP,bigbasket,,INR,bank
B221,2025-10-03,804.0,AMAZON INDIA INDIA POS-TRANS,amazon,494QW071A6,INR,bank
B222,2025-10-24,490.0,OLA INDIA POS-TRANS,ola,8DTMFK02ND,INR,bank
B223,2025-10-27,497.0,OLA POS-TRANS,ola,TMTE8IVYKT,INR,bank
B224,2025-10-04,500.0,AIR.INDIA *0912,air 0912,1WYRZ336RI,INR,bank
B225,2025-11-20,822.0,ZOMATO-INC,zomato,261RPETFQG,INR,bank
B226,2025-10-04,15020.0,PAYTM.MALL *0912,paytm mall 0912,CRUUFVDRO8,INR,bank
B227,2025-10-03,9981.0,GOOGLE PLAY CORP,google play,26BR687ZTL,INR,bank
B228,2025-10-03,193.0,NETFLIX *0912,netflix 0912,7V1FB80VRI,INR,bank
B229,2025-10-21,303.0,BIGBASKET INDIA/ONLINE,bigbasket,2WGA9ZAS1D,INR,bank
B230,2025-10-12,308.0,SWIGGY-INC,swiggy,C84GWMZQHB,INR,bank
B231,2025-11-23,305.0,RELIANCE.MART CORP,reliance mart,4K8C9341EM,INR,bank
B232,2025-11-15,816.0,AIR INDIA POS-TRANS,air,OI0I8WB5KI,INR,bank
B233,2025-11-28,993.0,APPLE.STORE-INC,apple store,SVBNVKQ1ZI,INR,bank
B234,2025-10-16,211.0,MAKEMYTRIP POS-TRANS,makemytrip,XDRUGNMA0J,INR,bank
B235,2025-10-03,5009.0,ZOMATO INDIA/ONLINE,zomato,AUI1XCI5AT,INR,bank
B236,2025-10-18,24997.0,APPLE STORE_LTD,apple store,OEJ6ZMXF66,INR,bank
B237,2025-10-24,4987.0,IRCTC CORP,irctc,PYETZ1BXRA,INR,bank
B238,2025-11-03,14995.0,MYNTRA/ONLINE,myntra,07ZMLAC3NZ,INR,bank
B239,2025-09-30,496.0,SPOTIFY-INC,spotify,J9X90N1WMB,INR,bank
B240,2025-10-14,9994.0,ZOMATO/ONLINE,zomato,E5KK9RF2QY,INR,bank
B241,2025-11-25,286.0,ZOMATO_LTD,zomato,03XHMTW7VG,INR,bank
B242,2025-11-25,207.0,PAYTM MALL/ONLINE,paytm mall,5AO7Q2SDKR,INR,bank
B243,2025-11-06,4994.0,AMAZONINDIA CORP,amazonindia,T6B6TFF5S4,INR,bank
B244,2025-10-05,25015.0,BOOKMYSHOW-INC,bookmyshow,JTF5H3MCW7,INR,bank
B245,2025-11-03,1494.0,SWIGGY CORP,swiggy,,INR,bank
B246,2025-11-01,1499.0,OLA-INC,ola,XJ8SVRBOWI,INR,bank
B247,2025-11-01,24996.0,DMART *0912,dmart 0912,,INR,bank
B248,2025-10-16,792.0,FLIPKART POS-TRANS,flipkart,I6QRD2Y1EP,INR,bank
B249,2025-10-10,2474.0,MAKEMYTRIP CORP,makemytrip,9AECUIY75Z,INR,bank
B250,2025-11-01,488.0,PAYTMMALL POS-TRANS,paytmmall,,INR,bank
B251,2025-10-11,9974.0,PAYTM MALL_LTD,paytm mall,,INR,bank
B252,2025-11-11,306.0,MAKEMYTRIP CORP,makemytrip,7AH23PYLQM,INR,bank
B253,2025-10-20,990.0,FLIPKART CORP,flipkart,USR2SBSLRS,INR,bank
B254,2025-10-07,14993.0,RELIANCEMART CORP,reliancemart,T4E3DP3ZJV,INR,bank
B255,2025-10-22,10021.0,AMAZONINDIA POS-TRANS,amazonindia,,INR,bank
B256,2025-10-07,1014.0,BIGBASKET CORP,bigbasket,XVUE3QUWFV,INR,bank
B257,2025-10-01,14998.0,BOOKMYSHOW/ONLINE,bookmyshow,0OPZ8DTFGG,INR,bank
B258,2025-10-27,498.0,APPLESTORE POS-TRANS,applestore,2A965FKFX5,INR,bank
B259,2025-11-23,15026.0,OLA/ONLINE,ola,PNJ8H396SE,INR,bank
B260,2025-11-07,1000.0,IRCTC POS-TRANS,irctc,SXIMMVPRVW,INR,bank
B261,2025-10-22,494.0,AIR.INDIA POS-TRANS,air,,INR,bank
B262,2025-10-28,808.0,SWIGGY CORP,swiggy,XPTTDX5W8P,INR,bank
B263,2025-10-01,788.0,UBER INDIA/ONLINE,uber,4O5R82LU1R,INR,bank
B264,2025-11-13,179.0,SPOTIFY-INC,spotify,GNV1ATBIQJ,INR,bank
B265,2025-10-17,526.0,UBER_LTD,uber,FF910C2CTB,INR,bank
B266,2025-11-24,1480.0,APPLE STORE INDIA-INC,apple store,T43N5F5FLZ,INR,bank
B267,2025-11-26,15007.0,APPLE.STORE-INC,apple store,TZ7Y63XAEU,INR,bank
B268,2025-10-12,14982.0,SPOTIFY/ONLINE,spotify,4DDXFWRETK,INR,bank
B269,2025-11-17,15007.0,MAKEMYTRIP *0912,makemytrip 0912,PCMF9PB55S,INR,bank
B270,2025-10-19,10017.0,NETFLIX *0912,netflix 0912,S7WO2QCPXS,INR,bank
B271,2025-11-15,9989.0,RELIANCE POS-TRANS,reliance,,INR,bank
B272,2025-10-18,1503.0,FLIPKART CORP,flipkart,0TCJ788YZH,INR,bank
B273,2025-10-15,1519.0,MAKEMYTRIP CORP,makemytrip,WIASAK9KPK,INR,bank
B274,2025-10-21,25019.0,APPLE STORE_LTD,apple store,RLM7I1RF1M,INR,bank
B275,2025-11-13,189.0,DMART_LTD,dmart,ZOAJCRZLCM,INR,bank
B276,2025-11-08,14969.0,SPOTIFY *0912,spotify 0912,9XWGMKUMNQ,INR,bank
B277,2025-10-24,216.0,FLIPKART/ONLINE,flipkart,VPEWKMK2ZP,INR,bank
B278,2025-11-17,9983.0,PAYTM MALL/ONLINE,paytm mall,00AASZRY1A,INR,bank
B279,2025-11-10,996.0,RELIANCE MART CORP,reliance mart,8PENL490VA,INR,bank
B280,2025-10-24,2469.0,RELIANCE MART CORP,reliance mart,G973THZZ6T,INR,bank
B281,2025-11-17,226.0,FLIPKART_LTD,flipkart,Z59W9CRFLB,INR,bank
B282,2025-10-24,509.0,NETFLIX CORP,netflix,H10YZVLWV4,INR,bank
B283,2025-11-12,2518.0,OLA *0912,ola 0912,6CAGKJ6VL5,INR,bank
B284,2025-10-09,15019.0,ZOMATO_LTD,zomato,V4HNMP4G0A,INR,bank
B285,2025-11-22,509.0,MAKEMYTRIP *0912,makemytrip 0912,4ER9NE98ZJ,INR,bank
B286,2025-11-20,288.0,SPOTIFY/ONLINE,spotify,QLQR2HD0LT,INR,bank
B287,2025-11-30,513.0,ZOMATO INDIA/ONLINE,zomato,2Y270PAPZT,INR,bank
B288,2025-11-01,10015.0,RELIANCE MART CORP,reliance mart,WY4H4G6F96,INR,bank
B289,2025-11-06,2488.0,DMART/ONLINE,dmart,,INR,bank
B290,2025-10-23,4987.0,MAKEMYTRIP CORP,makemytrip,AAXCJKE2LC,INR,bank
B291,2025-10-07,10025.0,MAKEMYTRIP INDIA-INC,makemytrip,E28AZDM2H2,INR,bank
B292,2025-10-03,195.0,SWIGGY INDIA-INC,swiggy,D1ZE5QHM3G,INR,bank
B293,2025-11-04,15000.0,PAYTM *0912,paytm 0912,UI07F0HS1X,INR,bank
B294,2025-11-05,187.0,SPOTIFY POS-TRANS,spotify,TKAAXM34YN,INR,bank
B295,2025-10-13,220.0,MAKEMYTRIP INDIA *0912,makemytrip 0912,C7LGLOX1G6,INR,bank
