id,date,amount,merchant,reference,currency
L35,2025-11-23,184,Zomato,W7PN767G6N,INR
L36,2025-10-16,2492,Amazon India,3E4GJG53CA,INR
L37,2025-10-18,15004,BookMyShow,BYZ5LTX9XL,INR
L38,2025-10-14,806,IRCTC,BC28GBI3Q8,INR
L39,2025-11-15,2515,Myntra,Z7C3HP77ZH,INR
L40,2025-11-24,188,IndiGo,DZ425WMGX9,INR
L41,2025-10-06,24985,Flipkart,HXX2XKSZK4,INR
L42,2025-11-24,10012,Air India,D4AUZSVXD6,INR
L43,2025-11-21,819,Air India,RN3QXKTUV2,INR
L44,2025-10-11,1491,Flipkart,NVRNPGDXCU,INR
L45,2025-11-13,511,Zomato,1RSIWSM7WO,INR
L46,2025-10-22,24996,IRCTC,GDZBS1NBFX,INR
L47,2025-11-17,25004,Ola,15SX1RYQJ9,INR
L48,2025-10-29,10019,Spotify,C05OBPODLQ,INR
L49,2025-11-15,281,DMart,N28TYU03ZX,INR
L50,2025-10-09,190,MakeMyTrip,HYQXA87J7T,INR
L51,2025-10-23,24983,Netflix,2EESVSOR2G,INR
L52,2025-11-14,800,Myntra,0ECSNHDEGC,INR
L53,2025-11-22,306,MakeMyTrip,7PQBB78O30,INR
L54,2025-10-05,1501,Reliance Mart,VEPSBHKZFV,INR
L55,2025-11-04,1493,Flipkart,W4HIRHL1HR,INR
L56,2025-11-10,1509,MakeMyTrip,Q6P6COQD54,INR
L57,2025-11-06,2515,Paytm Mall,TICZ2PVV1G,INR
L58,2025-11-28,9994,Myntra,39UTNY79MV,INR
L59,2025-10-27,498,Uber,FJI3KVB571,INR
L60,2025-10-02,15007,Ola,FLXFBIMD6P,INR
L61,2025-11-03,314,Flipkart,VID6ILQENO,INR
L62,2025-11-01,218,Google Play,P0FUGKYPFY,INR
L63,2025-11-03,789,Ola,I6EKGAZWYI,INR
L64,2025-11-20,24993,Paytm Mall,PZ52JKIFHG,INR
L65,2025-10-27,24984,IndiGo,KRGLCTDQAJ,INR
L66,2025-11-21,507,MakeMyTrip,4ER9NE98ZJ,INR
L67,2025-10-07,9984,Amazon India,XM4QFIXLZ1,INR
L68,2025-10-16,25014,Myntra,NF9N51TPXZ,INR
L69,2025-10-15,809,Paytm Mall,I8M3W8AQQY,INR
L70,2025-10-17,780,Uber,2GG16IEX2T,INR
L71,2025-11-06,203,Myntra,J2X2C0PX66,INR
L72,2025-10-18,505,MakeMyTrip,TRBIQPDR6W,INR
L73,2025-11-24,15002,Uber,8HYCSSTRWG,INR
L74,2025-11-11,2519,Netflix,SHGXSG5KQE,INR
L75,2025-10-09,2499,Spotify,F8W8DPC1N1,INR
L76,2025-11-11,14981,Paytm Mall,O00XGH14KO,INR
L77,2025-11-10,5016,Google Play,HL7V1JWNVF,INR
L78,2025-10-05,5012,Uber,FPBMYXHAXG,INR
L79,2025-10-17,14987,Spotify,P7SNGA0W8V,INR
L80,2025-10-16,789,Flipkart,5MHOU6TL19,INR
L81,2025-10-28,515,Ola,LM0UB1X19Z,INR
L82,2025-10-02,210,Paytm Mall,7CCZDMGJGI,INR
L83,2025-10-05,181,IndiGo,HLEF80UYIP,INR
L84,2025-11-12,4983,DMart,4XC6VIUIID,INR
L85,2025-10-20,1018,Zomato,IAJ78ESL2Z,INR
L86,2025-11-19,984,IndiGo,XSI464HPB2,INR
L87,2025-10-07,185,IRCTC,OSZZATX80F,INR
L88,2025-11-09,14989,BookMyShow,XKJ75AD4CO,INR
L89,2025-10-22,25008,Zomato,EY2967WTUL,INR
L90,2025-11-11,5019,BookMyShow,7G22QCQ5QI,INR
L91,2025-10-21,2498,Air India,1T8YTTASPE,INR
L92,2025-10-09,5006,MakeMyTrip,0E5FID8VKE,INR
L93,2025-10-19,25006,Swiggy,I9UBSN1WJ4,INR
L94,2025-11-12,1008,Air India,HCHYSYEGCM,INR
L95,2025-11-30,805,MakeMyTrip,1ASAZPGKK8,INR
L96,2025-11-26,194,MakeMyTrip,I4N4F9603U,INR
L97,2025-11-23,808,Ola,ATEG2474A5,INR
L98,2025-11-30,808,IRCTC,Y81SMY5D49,INR
L99,2025-10-14,14995,BigBasket,VMSAGHKGA4,INR
L100,2025-11-01,1518,Air India,QKFEIVZ56N,INR
L101,2025-10-20,192,IRCTC,8XB4Z638RH,INR
L102,2025-11-06,2486,Air India,VMXHH2X3T0,INR
L103,2025-10-27,495,Google Play,10GDLJXAYO,INR
L104,2025-11-24,25015,DMart,U898N8177Y,INR
L105,2025-11-27,1492,Flipkart,Z469V7DLN1,INR
L106,2025-10-20,14989,Air India,GR4BKOXTMD,INR
L107,2025-11-04,983,Netflix,B89SWSEJMO,INR
L108,2025-11-05,14990,Netflix,6HU9IGJWBM,INR
L109,2025-10-13,9981,IRCTC,EWYN5958BX,INR
L110,2025-10-12,25016,Reliance Mart,JSMYXRZ1UU,INR
L111,2025-11-18,1510,Paytm Mall,M0Z1RCWDNF,INR
L112,2025-10-05,1010,Apple Store,KE8M8WZWXH,INR
L113,2025-10-08,306,Myntra,BPZS6CHFBY,INR
L114,2025-11-19,9989,Zomato,IB06RNGBPI,INR
L115,2025-11-22,9986,Apple Store,VCWTA0DF5Z,INR
L116,2025-10-30,10005,Flipkart,BCF416H135,INR
L117,2025-10-26,14982,MakeMyTrip,26R9ER8D7M,INR
L118,2025-10-21,803,DMart,EDC130QJNZ,INR
L119,2025-11-05,14983,Reliance Mart,6GOZ0SL16S,INR
L120,2025-10-31,815,Reliance Mart,XCLHCHTU5Z,INR
L121,2025-10-31,2481,Ola,QLABDSL6WE,INR
L122,2025-11-28,288,BookMyShow,C8L7VN9LHD,INR
L123,2025-11-18,987,BigBasket,J39BEW3B1E,INR
L124,2025-10-05,25018,Reliance Mart,PKAYGM7JNU,INR
L125,2025-10-30,2518,Apple Store,SAPBYJFMEF,INR
L126,2025-10-20,15000,Netflix,9OT3U4SM51,INR
L127,2025-10-04,9994,DMart,YG3BXCEIQD,INR
L128,2025-11-26,813,IndiGo,BVSEYOVWR4,INR
L129,2025-11-10,309,DMart,48ZDUNOMBZ,INR
L130,2025-11-28,25011,Apple Store,U7RBRVTY0L,INR
L131,2025-10-17,807,Air India,NEOAG5A0QS,INR
L132,2025-11-10,505,BigBasket,VXZ3R82NW5,INR
L133,2025-10-21,1513,IndiGo,J1NHUVB973,INR
L134,2025-11-20,318,IRCTC,Z99K1DW51K,INR
L135,2025-10-31,1479,Apple Store,9T8FOCB6OD,INR
L136,2025-10-11,14996,Uber,U9RZ25RLWV,INR
L137,2025-11-11,14992,Reliance Mart,7LXK0O0JGN,INR
L138,2025-11-08,996,Google Play,IDRDK6VCDZ,INR
L139,2025-10-25,809,Swiggy,C4KOTNQ500,INR
L140,2025-11-23,806,DMart,PCOKEPSSKA,INR
L141,2025-11-02,10017,Google Play,R9DN9JBYDI,INR
L142,2025-10-10,9985,Paytm Mall,7B210WQ537,INR
L143,2025-10-05,4990,Swiggy,IZ000J5GCR,INR
L144,2025-10-14,285,Paytm Mall,M0QP72K4WK,INR
L145,2025-11-25,519,Flipkart,PYP7FKOMHR,INR
L146,2025-10-25,4995,Reliance Mart,9C5YV9O86I,INR
L147,2025-10-09,2481,Air India,IRVRJK6Q4R,INR
L148,2025-10-18,14985,Paytm Mall,4EUIVB17IP,INR
L149,2025-11-06,4979,Air India,TZLF0TBLIZ,INR
L150,2025-11-10,2495,Apple Store,NRUJWFJDR9,INR
L151,2025-11-17,10014,Reliance Mart,FI4XZV0UA6,INR
L152,2025-10-14,25019,BookMyShow,PMFCKUY91O,INR
L153,2025-11-21,805,Uber,8IW2DATC15,INR
L154,2025-11-16,14979,Swiggy,WXXOF5JGTC,INR
L155,2025-11-20,9997,Amazon India,3XF35253E4,INR
L156,2025-11-07,1492,Uber,281SWN13BU,INR
L157,2025-10-28,1481,Zomato,8RAYOXI1P2,INR
L158,2025-10-17,516,Reliance Mart,WX2J9A0DZH,INR
L159,2025-11-30,280,Google Play,SPGBEH0FSX,INR
L160,2025-10-15,492,Uber,VIW357XBHR,INR
L161,2025-10-19,317,Amazon India,1JGIQRTDRN,INR
L162,2025-10-07,15003,Flipkart,JZ4S4A615I,INR
L163,2025-11-02,486,Uber,2OZMEMD6L3,INR
L164,2025-11-30,516,Zomato,2Y270PAPZT,INR
L165,2025-11-30,4983,MakeMyTrip,ACH9C8JIGZ,INR
L166,2025-11-06,4987,IndiGo,WOELYO1V0A,INR
L167,2025-10-14,292,Uber,CBWFDHR2P9,INR
L168,2025-10-02,182,Swiggy,NM0E00GBL7,INR
L169,2025-10-26,507,DMart,1NVASS73N3,INR
L170,2025-10-22,504,Flipkart,8H4KLXRYB1,INR
L171,2025-11-15,185,BigBasket,SN9ECMMKQI,INR
L172,2025-10-01,1007,MakeMyTrip,9RCFDUFYJD,INR
L173,2025-10-18,25005,Myntra,E16OGR24DK,INR
L174,2025-11-01,2503,BigBasket,7LQ3GIWAC9,INR
L175,2025-11-28,782,BigBasket,RONOSLV61G,INR
L176,2025-11-05,15007,Amazon India,B3KOLAI3S0,INR
L177,2025-11-20,4986,Air India,2OOSSD9NHR,INR
L178,2025-10-02,10002,Apple Store,CF75MEQ5JP,INR
L179,2025-10-20,1008,IRCTC,VCA0SYXD9H,INR
L180,2025-10-26,298,Spotify,HOELPHXH5F,INR
L181,2025-10-25,14985,Amazon India,1U1I91J7EW,INR
L182,2025-10-15,992,Google Play,TT6KXF7TN5,INR
L183,2025-10-18,14992,Myntra,BTYCYUJ6NZ,INR
L184,2025-11-12,286,Google Play,PCGNGAABEJ,INR
L185,2025-11-22,4980,IRCTC,PXONP5Z4KF,INR
L186,2025-11-16,1499,Spotify,LKF2LECOIV,INR
L187,2025-10-26,9985,Amazon India,OF5CE00AEA,INR
L188,2025-10-26,795,Apple Store,MQ7TYIO6OQ,INR
L189,2025-11-08,15018,MakeMyTrip,ANYJ2UZV9A,INR
L190,2025-10-08,192,Spotify,X5LGR4D93O,INR
L191,2025-11-20,14985,IRCTC,GG545XO3VY,INR
L192,2025-10-13,24984,Paytm Mall,UT9CT1G96F,INR
L193,2025-10-31,14979,Google Play,Q4KQ99IC1J,INR
L194,2025-10-27,502,Google Play,FAZLM0FB8K,INR
L195,2025-11-01,4996,Zomato,GY5E2MJG8B,INR
L196,2025-10-06,2499,Netflix,2V3KHCD9NX,INR
L197,2025-11-27,4989,MakeMyTrip,D1PKZ2BR17,INR
L198,2025-11-27,1016,Air India,HRC6QVQF7N,INR
L199,2025-10-12,25002,Air India,KCK2KCLKXY,INR
L200,2025-11-07,25016,Reliance Mart,1S2FIYC0NW,INR
L201,2025-10-11,805,Zomato,9PVG56EQO8,INR
L202,2025-11-08,2497,MakeMyTrip,K0H6AB0TEA,INR
L203,2025-11-10,15013,Ola,39UUWQUU8Z,INR
L204,2025-10-01,5006,IndiGo,Q4HV4CA7LG,INR
L205,2025-11-01,291,Amazon India,BLQ2KZ01N1,INR
L206,2025-11-30,24984,Netflix,F200CNXMIG,INR
L207,2025-11-17,1003,IndiGo,GB3N6SQ8Y1,INR
L208,2025-11-01,179,Myntra,CYAE2B8H4C,INR
L209,2025-11-12,209,BookMyShow,XHMTETX64Y,INR
L210,2025-11-02,25015,Amazon India,1X1PGGCAJA,INR
L211,2025-11-20,980,IRCTC,J9UQWD3P2R,INR
L212,2025-11-13,9996,Swiggy,ED7K4GZIHK,INR
L213,2025-11-04,293,Netflix,TPUDVGTF6T,INR
L214,2025-10-16,203,MakeMyTrip,XDRUGNMA0J,INR
L215,2025-10-08,15014,IRCTC,8EZRTCKRRH,INR
L216,2025-11-24,499,Ola,PGIFWHLJJJ,INR
L217,2025-11-12,9989,Flipkart,U2F1S54X1F,INR
L218,2025-10-11,5006,Google Play,XNA07UCTB0,INR
L219,2025-11-13,4988,Flipkart,E1EVF9FEY8,INR
L220,2025-11-03,10008,Paytm Mall,8RD741RPWB,INR
L221,2025-11-01,2494,Reliance Mart,P43PZZWTZY,INR
L222,2025-11-05,2483,Reliance Mart,K42P9F3STJ,INR
L223,2025-11-25,14999,Myntra,Y8RMRKOV9C,INR
L224,2025-10-13,24981,Air India,PPNTS4DFFV,INR
L225,2025-10-29,5009,IRCTC,OTXB55TIHP,INR
L226,2025-11-04,2495,Google Play,X2Z1YQBO3N,INR
L227,2025-11-06,193,Reliance Mart,5N502UT44H,INR
L228,2025-10-11,24997,Ola,TEKZEOWEIF,INR
L229,2025-11-15,2506,Spotify,C2JUV6ZVPJ,INR
L230,2025-10-05,2519,Flipkart,FDDI0VR7Z9,INR
L231,2025-10-09,14994,Apple Store,DFGB0M4EDS,INR
L232,2025-11-28,502,Ola,T63MWNLVOF,INR
L233,2025-10-15,317,MakeMyTrip,7F3VQDYGB5,INR
L234,2025-11-26,25006,Spotify,5N3IQ2PIHM,INR
L235,2025-11-11,185,DMart,CAP7IZ2H9S,INR
L236,2025-10-07,10017,MakeMyTrip,RXA4ZJ3FAN,INR
L237,2025-10-02,312,Spotify,NZUTM11337,INR
L238,2025-11-12,1513,Flipkart,32DUF3CLVZ,INR
L239,2025-11-10,197,Apple Store,N89DOHNUQM,INR
L240,2025-10-29,5004,DMart,WZPKLNSQ7F,INR
L241,2025-11-04,4993,DMart,8J466DLPYU,INR
L242,2025-11-30,2498,Myntra,BKREJZHVL8,INR
L243,2025-11-24,1500,Uber,UE067ZDBDQ,INR
L244,2025-10-16,279,DMart,EXEZ950AQ2,INR
L245,2025-10-21,14985,Google Play,0LTYZG7K90,INR
L246,2025-11-22,24984,Amazon India,Y1ULRGYADN,INR
L247,2025-10-14,10003,Air India,H2VSZQGUP4,INR
L248,2025-11-24,10009,BigBasket,0UV07QA4KA,INR
L249,2025-11-14,25019,Swiggy,Z8SPIJ3CI2,INR
L250,2025-10-30,1004,Apple Store,2NHMJWUWOG,INR
L251,2025-10-05,991,Air India,VPLG647V8B,INR
L252,2025-11-04,494,MakeMyTrip,L8J96Z7L64,INR
L253,2025-10-12,507,IndiGo,A910K8TANL,INR
L254,2025-10-30,811,Swiggy,PCZS55YBSO,INR
L255,2025-10-15,283,MakeMyTrip,8QLHZL92PG,INR
L256,2025-11-23,2495,Spotify,QMU5G8U0J4,INR
L257,2025-11-27,301,Reliance Mart,G01IBSKCKK,INR
L258,2025-10-21,2519,Spotify,X8B3E9DRS4,INR
L259,2025-10-18,810,MakeMyTrip,YJ6G8ZGC4L,INR
L260,2025-10-03,9979,Myntra,IPWHAJHE9E,INR
L261,2025-10-17,203,DMart,I8U1MTAATN,INR
L262,2025-11-13,798,Netflix,XWMGIO8YUR,INR
L263,2025-11-07,5004,Spotify,3CQD9JL81B,INR
L264,2025-10-10,289,Swiggy,CMOQLXO9M7,INR
L265,2025-11-13,479,Netflix,1T3JO4C37W,INR
L266,2025-11-01,798,Swiggy,WV2FD6F0AZ,INR
L267,2025-10-14,204,BigBasket,IEK45SBK27,INR
L268,2025-11-18,812,Uber,9CCXO1KQVF,INR
L269,2025-11-13,1499,Ola,SI31QF8L01,INR
L270,2025-10-02,25010,BigBasket,JGCMH0YWEN,INR
L271,2025-10-20,499,Ola,1WIKX2ORFP,INR
L272,2025-10-03,2489,Swiggy,Z6J3V3TWTQ,INR
L273,2025-11-15,192,IRCTC,F424Y6NUZO,INR
L274,2025-11-12,1483,Uber,SIDBRKZKL1,INR
L275,2025-10-10,1508,BigBasket,QP9RRRE3EB,INR
L276,2025-10-20,204,DMart,VR8QW4RAVF,INR
L277,2025-10-11,10007,MakeMyTrip,2G432PFHJI,INR
L278,2025-11-14,1510,Uber,FVUMSYIL3Y,INR
L279,2025-10-18,15012,IRCTC,HUIS0XT7B3,INR
L280,2025-10-11,9981,Paytm Mall,B5XXG5NNR0,INR
L281,2025-11-06,313,Myntra,G71Q2RV813,INR
L282,2025-11-26,984,Reliance Mart,XBTGBRFEUB,INR
L283,2025-11-26,279,MakeMyTrip,J3EBEMUC95,INR
L284,2025-11-09,813,Apple Store,Q1FNNNQDG2,INR
L285,2025-10-17,5005,Flipkart,ZKTM3KXSX3,INR
L286,2025-10-16,9982,Netflix,GQXHJQ74S2,INR
L287,2025-11-17,813,Reliance Mart,VD37Y6437B,INR
L288,2025-11-12,196,Paytm Mall,EU7EYU6Q28,INR
L289,2025-11-01,15017,Google Play,6BQ5GU64AK,INR
L290,2025-10-21,15007,Apple Store,Z6EDY4CQA7,INR
L291,2025-11-21,4979,Ola,5DNZKJ9EOA,INR
L292,2025-11-16,25005,IRCTC,TQLZ1304U9,INR
L293,2025-10-14,308,Air India,KHFOYP06WC,INR
L294,2025-11-23,814,Reliance Mart,I7CM334G8W,INR
L295,2025-11-07,1001,IRCTC,33F5FDDZI5,INR
L296,2025-10-20,2481,Spotify,YE7F1N9JEL,INR
L297,2025-11-23,24999,Paytm Mall,ELLNT1GH7Q,INR
L298,2025-10-28,15010,Zomato,3F1M12Z2FS,INR
L299,2025-10-18,491,Swiggy,RRX2T7AQD4,INR
L300,2025-10-01,10009,Flipkart,HIFFNBLU3B,INR
L301,2025-11-20,14981,IRCTC,TKMAM8WV0Y,INR
L302,2025-10-30,14989,Uber,KK6II6CQKF,INR
L303,2025-11-12,799,Air India,ZQEYHQXIMD,INR
L304,2025-11-08,517,BookMyShow,VMG2UMI71K,INR
L305,2025-10-05,24998,Myntra,3B8N59VG3Z,INR
L306,2025-11-05,1490,Spotify,KO7HDLZHHC,INR
L307,2025-10-10,25008,DMart,AZLO6CURJY,INR
L308,2025-10-30,1486,IRCTC,US43LWGVXV,INR
L309,2025-11-24,1492,Uber,NE1V0TL7R9,INR
L310,2025-10-14,4983,Ola,ALFV4VYHGE,INR
L311,2025-11-18,14983,DMart,GUXF0MT56V,INR
L312,2025-10-04,15003,BigBasket,TTL94RNZ7R,INR
L313,2025-10-01,2485,Ola,1AMW4X3S3O,INR
L314,2025-11-15,4979,Apple Store,53K1SBVOKR,INR
L315,2025-11-09,1509,Google Play,PSRRUNLCTB,INR
L316,2025-10-16,14992,Netflix,K98IWBX26P,INR
L317,2025-11-30,14996,IndiGo,W5KRWGSBM2,INR
L318,2025-11-21,212,IndiGo,UD7VS9DB2S,INR
L319,2025-10-23,786,Apple Store,WWCLBN3ZF9,INR
L320,2025-10-03,502,IndiGo,BAUEMB7E1K,INR
L321,2025-10-27,25013,BigBasket,RHRZ5XNA0X,INR
L322,2025-10-06,25015,Uber,AI1FG6WB5J,INR
L323,2025-10-16,287,Amazon India,BBT88YR99K,INR
L324,2025-11-17,187,Swiggy,ZUVJT6HEMJ,INR
L325,2025-10-09,1015,IndiGo,2VEJ4KPXY8,INR
L326,2025-11-02,10014,Air India,SU7RWVFQKR,INR
L327,2025-10-18,1517,MakeMyTrip,67SF6AEUVZ,INR
L328,2025-11-29,497,Amazon India,4NFY10J97F,INR
L329,2025-10-23,502,BookMyShow,ER1WIR8FZ0,INR
L330,2025-10-07,209,Reliance Mart,ZAN22T015U,INR
L331,2025-11-15,493,Google Play,HIDS48D7C3,INR
L332,2025-11-01,307,Reliance Mart,JA36340MZG,INR
L333,2025-10-31,999,Amazon India,878ZEJVP4R,INR
L334,2025-10-14,979,Amazon India,IPD2NIY03X,INR
L335,2025-10-22,185,Swiggy,CPG4EJVDN2,INR
L336,2025-10-10,490,Ola,N2X2XN6VWG,INR
L337,2025-11-03,216,IRCTC,66TB83FYMK,INR
L338,2025-10-21,494,MakeMyTrip,EZ1I9GAI4F,INR
L339,2025-11-19,25018,Swiggy,XXR9RA680J,INR
L340,2025-10-09,213,Flipkart,6FP128574Q,INR
L341,2025-11-13,282,Netflix,U80H4VS61Z,INR
L342,2025-11-16,1015,BookMyShow,H3Z42NGDO7,INR
L343,2025-11-19,25015,Ola,R7A5C1XCMO,INR
L344,2025-10-10,1494,Google Play,705O0FMZSJ,INR
L345,2025-11-07,1480,Paytm Mall,N0NOF0AYM4,INR
L346,2025-11-13,319,IRCTC,9TI780JJW1,INR
L347,2025-11-18,2506,Paytm Mall,WTZGUE6MXI,INR
L348,2025-11-14,9985,DMart,K8N09LA483,INR
L349,2025-11-29,188,Amazon India,YPVYHCZKA6,INR
L350,2025-10-18,782,Reliance Mart,4Z7OT76N1H,INR
L351,2025-10-24,185,Flipkart,RI3JTPNOWX,INR
L352,2025-11-26,4992,Air India,SJ9GKSUKQI,INR
L353,2025-11-16,15009,Netflix,F9K5IYA898,INR
L354,2025-10-10,14988,IndiGo,6012ZWRNZN,INR
L355,2025-10-31,2483,BookMyShow,B1MGCPW8RS,INR
L356,2025-10-23,208,BookMyShow,MB6SO4VYYF,INR
L357,2025-11-18,1000,Flipkart,IC4T8VS3BR,INR
L358,2025-10-31,4998,Google Play,0PJ8U0AKWT,INR
L359,2025-10-14,794,Myntra,4EIO0PEW7U,INR
L360,2025-11-21,213,BigBasket,NJSY0E58FZ,INR
L361,2025-11-07,10017,Ola,Z6KWXJ5965,INR
L362,2025-11-16,5002,BookMyShow,VCF0E7KBHB,INR
L363,2025-11-29,9983,Myntra,IC82YZXX5Y,INR
L364,2025-10-25,499,Reliance Mart,14TZJIR34B,INR
L365,2025-11-18,799,Netflix,EBIFLGEUEA,INR
L366,2025-10-09,812,Ola,YG7ZO1A1OX,INR
L367,2025-10-15,993,Zomato,CREHSPA7IA,INR
L368,2025-10-16,313,Apple Store,5HSEUF9Q36,INR
L369,2025-10-01,24979,Google Play,XWXJXAMHXS,INR
L370,2025-11-03,2511,Netflix,XFEQFQ19IQ,INR
L371,2025-11-29,15019,BookMyShow,64V1CFFBY9,INR
L372,2025-11-24,24994,Spotify,8XFQN814X4,INR
L373,2025-11-24,1003,MakeMyTrip,HU8VU93A3P,INR
L374,2025-11-29,285,BookMyShow,D46FGACI3Q,INR
L375,2025-11-29,4986,Air India,2ART1KTFVS,INR
L376,2025-11-23,1489,Uber,KJJOC2RVDV,INR
L377,2025-11-03,816,Air India,TU9Z3U4R52,INR
L378,2025-11-06,9996,BookMyShow,RIXLSCA5PM,INR
L379,2025-11-13,184,Amazon India,SUPYRLUCJK,INR
L380,2025-10-02,307,BookMyShow,FO6BNZ80OK,INR
L381,2025-11-29,479,Amazon India,VY51R0LMSC,INR
L382,2025-10-18,5008,IndiGo,VI4LKXWG90,INR
L383,2025-10-06,15016,IndiGo,B2KBZMJ1EZ,INR
L384,2025-11-08,9992,Air India,K5UUFIJHSI,INR
L385,2025-10-22,292,Reliance Mart,H8S8KUPL5P,INR
L386,2025-10-14,980,IndiGo,165ARU8493,INR
L387,2025-10-13,14988,Apple Store,H4M7UQQ6J8,INR
L388,2025-11-30,805,Zomato,VTROOTBJZ9,INR
L389,2025-11-02,479,DMart,T2E6AAWWS0,INR
L390,2025-11-02,24993,DMart,4Z0VDWLJY8,INR
L391,2025-11-11,991,BigBasket,HYN5XVY7FY,INR
L392,2025-11-17,491,Flipkart,Q312QAR0J3,INR
L393,2025-10-18,14989,Reliance Mart,WONJCGV2MP,INR
L394,2025-10-05,4987,DMart,WERXGTZTD7,INR
L395,2025-10-22,493,DMart,T82HLWDS2U,INR
L396,2025-11-10,180,Amazon India,GLZ49GKV3U,INR
L397,2025-10-06,5000,Swiggy,QLH0H1B9GL,INR
L398,2025-11-12,24997,Reliance Mart,YBD4ZTDPN1,INR
L399,2025-11-25,14985,Spotify,3OS7RDZZTN,INR
L400,2025-10-28,203,BookMyShow,NI2WNPTC4I,INR
L401,2025-10-05,984,Google Play,QLSOB4Y7T5,INR
L402,2025-11-29,14990,Paytm Mall,TX8GUGIOPB,INR
L403,2025-10-23,24993,Air India,7O8VT08C0K,INR
L404,2025-11-13,215,Ola,0X2X5YDOU3,INR
L405,2025-11-26,4995,IRCTC,ACN3A8DTL7,INR
L406,2025-10-25,204,Myntra,RQOS7CFCXV,INR
L407,2025-11-17,498,Zomato,WVWDJ7BL50,INR
L408,2025-11-28,1000,Zomato,G80VZOGUOQ,INR
L409,2025-10-31,2482,DMart,OWBYF35YP3,INR
L410,2025-11-12,290,Google Play,XKQWQW49L9,INR
L411,2025-11-12,4995,Zomato,AIBUF2YHYR,INR
L412,2025-10-25,24997,Netflix,1H8AZ95Q1M,INR
L413,2025-11-03,508,BigBasket,ZLFOF62P73,INR
L414,2025-10-19,14979,Flipkart,5FO50VSX35,INR
L415,2025-11-15,14980,Zomato,POFUN1WZAS,INR
L416,2025-11-24,283,Uber,WSX3MQM70F,INR
L417,2025-10-25,9983,Uber,MYNJ9ZXTH6,INR
L418,2025-11-13,24998,IndiGo,O2SY0XLLZN,INR
L419,2025-10-18,780,Swiggy,Z1MQTZ3CWZ,INR
L420,2025-10-04,25008,BookMyShow,JTF5H3MCW7,INR
L421,2025-10-03,2483,Google Play,8IYHJ6YEDQ,INR
L422,2025-11-12,4985,Flipkart,T925WAV96H,INR
L423,2025-10-17,14985,Uber,KKW5DXD69E,INR
L424,2025-10-28,815,DMart,GAERKT9FKJ,INR
L425,2025-11-01,2491,Reliance Mart,EY75H99DW7,INR
L426,2025-11-18,10004,IndiGo,JLOIAI0R2Q,INR
L427,2025-11-24,9987,Amazon India,E32VUWO7RO,INR
L428,2025-11-14,4996,DMart,PY6KW0FHS1,INR
L429,2025-10-22,209,BookMyShow,V3USLY1XUG,INR
L430,2025-10-01,24982,DMart,ZJQHG5A8IC,INR
L431,2025-10-13,517,BookMyShow,JANRM8ZTU1,INR
L432,2025-10-17,14997,MakeMyTrip,3082UCP0JZ,INR
L433,2025-10-27,14982,Apple Store,1LEI4RPQAP,INR
L434,2025-10-09,25011,Swiggy,LVI2FQIQL7,INR
L435,2025-10-31,10007,BigBasket,KE51UDKFW8,INR
L436,2025-11-07,10015,Zomato,JASR8BAUT6,INR
